segment,matching_summary,match1_summary,match1_score,match2_summary,match2_score,match3_summary,match3_score,llm_match
"Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"Councilman Mosley, Chair of Intergovernmental Educational Affairs. Thank you, Mr President. Thank you Back to the clerk.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962. 24.","Bill 1681 authorizes a warrant of up to $52,962.24 to the Pennsylvania Municipal League for a one-year subscription, presented by Councilman Kihari-Mosley.","Resolution 2025-1681 authorizes a warrant of up to $52,962.24 to the Pennsylvania Municipal League for a one-year subscription, to be reviewed by the Committee on Intergovernmental and Educational Affairs.",0.9018598794937134,"Resolution 2025-1682 authorizes a $72,500 warrant to the Pennsylvania Public Utility Commission for delinquent 811 damage prevention call debts owed by the City of Pittsburgh, and will be referred to the Committee on Intergovernmental and Educational Affairs.",0.6954801082611084,"Resolution 2025-1687 authorizes a warrant up to $13,647.00 to Allegheny County for damage to the courthouse's glycol line heating system caused by DOMI Traffic Division during sidewalk sign placement on Forbes Avenue.",0.6401897668838501,1
"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000. 00.","Bill 1682 authorizes a warrant to the Pennsylvania Public Utility Commission for $72,500 to address delinquent utility debts owed by the City of Pittsburgh.","Resolution 2025-1682 authorizes a $72,500 warrant to the Pennsylvania Public Utility Commission for delinquent 811 damage prevention call debts owed by the City of Pittsburgh, and will be referred to the Committee on Intergovernmental and Educational Affairs.",0.8556351661682129,"Resolution 2025-1637 authorizes a warrant of up to $17,204 to renew the City of Pittsburgh's membership in the Chartiers Valley District Flood Control Authority (CVDFCA) for 2025, which was unanimously passed by 8 council members.",0.6123430132865906,"Resolution 2025-1681 authorizes a warrant of up to $52,962.24 to the Pennsylvania Municipal League for a one-year subscription, to be reviewed by the Committee on Intergovernmental and Educational Affairs.",0.6073049902915955,1
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County. Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.","Bill 1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's property rights in block 56 B, lot 345 in the 15th Ward, replacing a previous 2019 resolution.","Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's property rights in Block 56-B, Lot 345 in the 15th Ward, repealing a previous 2019 resolution and transferring the property at no cost to the City.",0.8721352815628052,"RES. 2025-1685 authorizes the Urban Redevelopment Authority of Pittsburgh to sell a parcel of land (Block 21-D, Lot 42-A) in the 27th Ward to Island Avenue Holdings, LLC at no cost to the City of Pittsburgh.",0.693397581577301,"RES. 2025-1686 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 83-A, Lot 48 on N Aiken Avenue to the Pittsburgh Land Bank at no cost to the City, within Council District No. 9.",0.6877322196960449,1
"Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000. 00. 195,000. 00 cost, 153,000. 00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.","Bill 1684 authorizes the sale of land parcels in Pittsburgh's 5th Ward between the Urban Redevelopment Authority and Pittsburgh Land Bank for a total transaction value of $383,000, involving block 10 J, lots 259 and 260, and a property on Aron Street in District 6.","RES. 2025-1685 authorizes the Urban Redevelopment Authority of Pittsburgh to sell a parcel of land (Block 21-D, Lot 42-A) in the 27th Ward to Island Avenue Holdings, LLC at no cost to the City of Pittsburgh.",0.731249213218689,"RES. 2025-1684 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 10-J, Lots 259 and 260 on Erin Street (Council District 6) to the Pittsburgh Land Bank at no cost to the City.",0.718731164932251,"RES. 2025-1686 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 83-A, Lot 48 on N Aiken Avenue to the Pittsburgh Land Bank at no cost to the City, within Council District No. 9.",0.6815468072891235,2
"In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.","Bill 1685 authorizes the Urban Redevelopment Authority of Pittsburgh to sell land (Block 21D, Lot 42A in the 27th Ward) to Island Avenue Holdings LLC at no cost to the city.","RES. 2025-1685 authorizes the Urban Redevelopment Authority of Pittsburgh to sell a parcel of land (Block 21-D, Lot 42-A) in the 27th Ward to Island Avenue Holdings, LLC at no cost to the City of Pittsburgh.",0.9051555395126344,"RES. 2025-1686 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 83-A, Lot 48 on N Aiken Avenue to the Pittsburgh Land Bank at no cost to the City, within Council District No. 9.",0.6698008179664612,"Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's property rights in Block 56-B, Lot 345 in the 15th Ward, repealing a previous 2019 resolution and transferring the property at no cost to the City.",0.6659878492355347,1
"In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.","Bill 1686 authorizes the sale of land from the Urban Redevelopment Authority of Pittsburgh to the Pittsburgh Land Bank for Block 83A, Lot 48 on North Aiken Avenue in Pittsburgh's 11th Ward, Council District 9, at no cost to the city.","RES. 2025-1686 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 83-A, Lot 48 on N Aiken Avenue to the Pittsburgh Land Bank at no cost to the City, within Council District No. 9.",0.8363038301467896,"RES. 2025-1684 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 10-J, Lots 259 and 260 on Erin Street (Council District 6) to the Pittsburgh Land Bank at no cost to the City.",0.766681432723999,"RES. 2025-1685 authorizes the Urban Redevelopment Authority of Pittsburgh to sell a parcel of land (Block 21-D, Lot 42-A) in the 27th Ward to Island Avenue Holdings, LLC at no cost to the City of Pittsburgh.",0.7581766843795776,1
"In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024. and.","Bill 1687 authorizes a warrant up to $1,647,000 to Allegheny County for settlement of damages to the courthouse's glycol line heating system caused by Domi Traffic Division during sidewalk sign placement on Forbes Avenue.","Resolution 2025-1687 authorizes a warrant up to $13,647.00 to Allegheny County for damage to the courthouse's glycol line heating system caused by DOMI Traffic Division during sidewalk sign placement on Forbes Avenue.",0.9076336026191713,"Resolution 2025-1682 authorizes a $72,500 warrant to the Pennsylvania Public Utility Commission for delinquent 811 damage prevention call debts owed by the City of Pittsburgh, and will be referred to the Committee on Intergovernmental and Educational Affairs.",0.6745365858078003,"Resolution 2025-1681 authorizes a warrant of up to $52,962.24 to the Pennsylvania Municipal League for a one-year subscription, to be reviewed by the Committee on Intergovernmental and Educational Affairs.",0.622992217540741,1
"councilwoman warwick, chair of public works and infrastructure. thank you, mr president.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project. the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures. and.","Bill 1689 authorizes Pittsburgh Mayor and Office of Management and Budget Director to apply for a $460,856 Pennsylvania Department of Economic Development multimodal transportation grant for the Penn Avenue lighting project.","Resolution 2025-1636 authorizes a $125,000 fund transfer to the City of Pittsburgh Equipment Leasing Authority for Department of Public Works vehicle purchases, using Pennsylvania Department of Environmental Protection grant funds, and was unanimously passed by 8 council members.",0.667648196220398,Resolution 2025-1689 proposes amending a previous resolution to accept a reduced grant from the Pennsylvania Department of Economic Development's Multimodal Transportation Fund for the Penn Avenue Lighting project in Pittsburgh.,0.6636226773262024,"RES. 2025-1684 authorizes the Urban Redevelopment Authority of Pittsburgh to transfer Block 10-J, Lots 259 and 260 on Erin Street (Council District 6) to the Pittsburgh Land Bank at no cost to the City.",0.582625150680542,2
"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year. And.","RES. 2024-133: City Council authorizes the Mayor and Department of Public Works to enter into professional design service agreements with PASCHEK plus MTR for Fort Pitt Park Phase I improvements, increasing the total project cost to $415,170.","Resolution 2025-1690 amends a previous resolution to increase funding for Fort Pitt Park Phase 1 Improvements by $115,170, authorizing the Mayor and Director of Public Works to contract with Pashek + MTR for professional design services in the City of Pittsburgh.",0.7513471841812134,"Resolution 2025-1636 authorizes a $125,000 fund transfer to the City of Pittsburgh Equipment Leasing Authority for Department of Public Works vehicle purchases, using Pennsylvania Department of Environmental Protection grant funds, and was unanimously passed by 8 council members.",0.4446260929107666,"Resolution 2025-1637 authorizes a warrant of up to $17,204 to renew the City of Pittsburgh's membership in the Chartiers Valley District Flood Control Authority (CVDFCA) for 2025, which was unanimously passed by 8 council members.",0.4311699271202087,1
"Councilman Wilson, Chair of Land Use and Economic Development. Thank you, Mr President.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement. And I have four, If you could first read the appointment.","Bill 1691 proposes transferring $33,292 within the 2025 City Council District budget from salaries to employee benefits to support tuition reimbursement, as presented by Councilman Bobby Wilson.","Resolution 2025-1691, sponsored by Council Member Wilson, proposes transferring $33,292 within the 2025 Operating Budget from City Council Districts Salaries & Wages to Employee Benefits for tuition reimbursement, and has been referred to the Committee on Finance and Law.",0.8388384580612183,"Communication 2025-1693 involves Jake Pawlak, Director of Office of Management and Budget, presenting a weekly grants status update to City Council for the week ended March 28, 2025, which was read, received, and filed.",0.4400975704193115,"Resolution 2025-1636 authorizes a $125,000 fund transfer to the City of Pittsburgh Equipment Leasing Authority for Department of Public Works vehicle purchases, using Pennsylvania Department of Environmental Protection grant funds, and was unanimously passed by 8 council members.",0.4276826381683349,1
"Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029. We need a motion to either interview or approve. Motion to approve: Second: All those in favor say aye, Aye. Any opposed. The appointment has been approved. And now we have three communications.","Bill 1692 authorizes the appointment of Isabella Gross to the Shade Tree Commission with a term expiring March 1st, 2029, as presented by Councilman R Daniel Lavelle and unanimously approved by the city council.","City Council Resolution 2025-1692 approves the appointment of Isabella Gross as a Member of the Shade Tree Commission with a term ending March 1, 2029.",0.8881245851516724,"City Council Report 2025-1680 from the Committee on Intergovernmental and Educational Affairs receives affirmative recommendation and is motioned to be Read, Received and Filed.",0.330371081829071,"City Council Report 2025-1679 from the Committee on Innovation, Performance, Asset Management, and Technology receives affirmative recommendation and is motioned to be Read, Received and Filed.",0.3125942051410675,1
"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.","Bill 1693 involves a communication from Jake Pollack, Director of Office of Management and Budget, presenting a weekly grants status update to Pittsburgh City Council for the week ending March 28th, 2025.","Communication 2025-1693 involves Jake Pawlak, Director of Office of Management and Budget, presenting a weekly grants status update to City Council for the week ended March 28, 2025, which was read, received, and filed.",0.7602173089981079,"Resolution 2025-1636 authorizes a $125,000 fund transfer to the City of Pittsburgh Equipment Leasing Authority for Department of Public Works vehicle purchases, using Pennsylvania Department of Environmental Protection grant funds, and was unanimously passed by 8 council members.",0.5676591396331787,"Communication 2025-1697 involves Susheela Nemani-Stanger of the Urban Redevelopment Authority of Pittsburgh presenting the 2024 Affordable Housing Bond Annual Performance Report for reading, receiving, and filing.",0.5369603633880615,1
"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.","Bill 1694 authorizes a donation from Pittsburgh Cultural Trust to the Department of Public Safety for purchasing smoke detectors for city residents, as communicated by Jake Pollack, Director of the Office of Management and Budget.","Communication 2025-1694 involves a $500 donation from Pittsburgh Cultural Trust to the Department of Public Safety for purchasing smoke detectors for City residents, as submitted by Jake Pawlak, Director of the Office of Management and Budget.",0.8669978380203247,"Resolution 2025-1636 authorizes a $125,000 fund transfer to the City of Pittsburgh Equipment Leasing Authority for Department of Public Works vehicle purchases, using Pennsylvania Department of Environmental Protection grant funds, and was unanimously passed by 8 council members.",0.5288432240486145,"Resolution 2025-1638 authorizes the City of Pittsburgh to enter into a cooperation agreement with the Pittsburgh Downtown Partnership for infrastructure ownership and maintenance of Market Square improvements at no cost to the city, which was unanimously passed by 8 council members.",0.4343865215778351,1
"And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025. We need a motion to read, receive and file, So moved. Second, All those in favor say aye, Aye. All bids have been read, received and filed.","Bill 1697 involves the Urban Redevelopment Authority of Pittsburgh's Affordable Housing Bond 2024 Annual Performance Report, which was read, received, and filed by the city council.","Communication 2025-1697 involves Susheela Nemani-Stanger of the Urban Redevelopment Authority of Pittsburgh presenting the 2024 Affordable Housing Bond Annual Performance Report for reading, receiving, and filing.",0.693736732006073,"Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's property rights in Block 56-B, Lot 345 in the 15th Ward, repealing a previous 2019 resolution and transferring the property at no cost to the City.",0.5477674007415771,"Resolution 2025-1682 authorizes a $72,500 warrant to the Pennsylvania Public Utility Commission for delinquent 811 damage prevention call debts owed by the City of Pittsburgh, and will be referred to the Committee on Intergovernmental and Educational Affairs.",0.5243504047393799,1
"That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law. Thank you, Mr President.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.","Bill 1677 from the Committee on Finance and Law, presented by Councilperson Erica Strasburg, receives an affirmative recommendation for the March 26th, 2025 report.","Report 2025-1677 from the Committee on Finance and Law received an affirmative recommendation and was motioned to be Read, Received and Filed during the March 26, 2025 meeting.",0.8490993976593018,"City Council Report 2025-1679 from the Committee on Innovation, Performance, Asset Management, and Technology receives affirmative recommendation and is motioned to be Read, Received and Filed.",0.6607335805892944,"Report 2025-1678 from the Committee on Public Works and Infrastructure received an affirmative recommendation and was approved to be Read, Received and Filed during the city council meeting.",0.6378589868545532,1
"Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh. Thank you, Thank you As of this Board meeting. london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill. All bids have been read and received. like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij. Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse. criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services. You've heard the reading and title of the bill. Is there any discussion? Seeing none, the bill is now ready for final action. All in favor of the passage of the bill will vote aye when the name is called. Those opposed will vote no. Will the clerk please take the roll? Mr Sharlin: Aye. Mr Coghill: Aye. Ms Gross: Aye. Mr Mosley: Aye. Mrs Strasburger: Aye. Mrs Warwick: Aye. Mr Wilson: Aye. Mr LaValle-President: Aye, Eight ayes. The bill has received a legal card. number of votes. It is passed, finally.","Bill 1639 authorizes 36 open-end professional services agreements with multiple vendors for the City of Pittsburgh, with each agreement not to exceed $1,500,000 annually for a three-year term, and was unanimously passed by the city council.","Resolution 2025-1640 authorizes fifty-six additional Open-End Professional Services Agreements with multiple vendors for professional services for the City of Pittsburgh, unanimously passed by eight council members.",0.7736876010894775,"Resolution 2025-1639 authorizes fifty-six additional Open-End Professional Services Agreements with multiple vendors for professional services for the City of Pittsburgh, unanimously passed by eight council members.",0.7722523212432861,"Resolution 2025-1638 authorizes the City of Pittsburgh to enter into a cooperation agreement with the Pittsburgh Downtown Partnership for infrastructure ownership and maintenance of Market Square improvements at no cost to the city, which was unanimously passed by 8 council members.",0.5856685042381287,2
"That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure. Thank you, Mr President.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0
"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.","Bill 1678, presented by Councilwoman Barbara Warwick from the Committee on Public Works and Infrastructure, receives an affirmative recommendation for the March 26th, 2025 report.","Report 2025-1678 from the Committee on Public Works and Infrastructure received an affirmative recommendation and was approved to be Read, Received and Filed during the city council meeting.",0.8241642713546753,"City Council Report 2025-1679 from the Committee on Innovation, Performance, Asset Management, and Technology receives affirmative recommendation and is motioned to be Read, Received and Filed.",0.6955647468566895,"City Council Report 2025-1680 from the Committee on Intergovernmental and Educational Affairs receives affirmative recommendation and is motioned to be Read, Received and Filed.",0.689394474029541,1
