sentence,classification
These are projects that will modernize our water system and improve our service reliability.,x
The design: we're going to be using a lot of water.,x
The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,x
"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.",x
We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,x
"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.",x
"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
"Okay, Thank you.",x
"Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
We are also in the process of building our new Highland pump station.,x
That station is 78% complete at this point.,x
"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.",x
"So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.",x
"We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.",x
"We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",x
We are also recognized by the US EPA as a national leader in lead service line replacement programs.,x
So now let's take a look at our capital improvement plan drivers.,x
So you can see at that top line there we have a total investment over the next five years of almost 1.,x
2 billion.,x
There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,x
that is about 30% of our funding and programming for the next five years.,x
"Again, that is a mandated program.",x
We have a consent decree.,x
We have a mandate that mandates that.,x
"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.",x
"We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.",x
"And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.",x
"And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.",x
"We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.",x
So now I'll turn it over to Tony to talk about the stormwater program.,x
"Thank you, Thanks, Jen.",x
"So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.",x
So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,x
"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.",x
"The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map.",x
We've been doing ongoing maintenance and inspection to optimize their performance.,x
One of the things we did this past year was bring a lot of that management in-house moving forward.,x
"In addition to that, we still face environmental compliance requirements- A lot of it on our outfalls- that outfall to the rivers and streams, And so there's quite a bit of inspection and protective measures.",x
The inspections are especially after events- storm events- to go out and inspect the system and make sure that we're not impacting water quality in the rivers and streams negatively.,x
"In terms of our capital budget, even though a lot of that was ratcheted down, the 2025 is still in the neighborhood of 29 million And a lot of that includes projects that are currently being constructed, like Braywood, the rapid a bus, rapid transit project, the catch basin inlet replacement we've talked about.",x
"There is money in there to complete as much as possible the design of the four mile run, And we're going to be doing that, We're going to be doing that, We're going to be doing that, We're going to be doing that.",x
There's a lot of work that needs to be done to get that done And then we're going to be looking at how we're going to do that And then we're going to be looking at how we're going to get a new stormwater improvement system.,x
"do some planning for Fowler Park with the parks and the city departments, The Oak Ridge storm sewer separation- that one actually has to go forward because we're taking illicit connections out of the system and putting them back in storm sewers.",x
There are other projects outside flats and woods run also earmarked for construction.,x
So the part that is still coming down the pipe is the what a consent decree.,x
"We're still in negotiations with Environmental Protection Agency, the Department of Justice, Pennsylvania Department of Environmental Protection and County Health.",x
So there's quite a few alphabet soup regulatory agencies involved.,x
"We got a draft consent decree beginning of towards the end of the year- October, November- But with the change in Washington DC leadership that's kind of come to a halt for a little bit until the current, The new administration.",x
The new administration figures out their priority of enforcement.,x
"While they're doing that, we're still moving forward and doing evaluation of the capacity of the sewer system, conducting water quality evaluations, as well as putting together operational maintenance metrics that we think we're going to need to run the system anyway.",x
So those are things that we're currently moving forward with.,x
"We've also submitted to them a draft operation and maintenance plan And we've worked tirelessly in the last- I want to say, 18 months doing flow monitoring, data collection to expand our hydraulic model, So the hydraulic model that Alka-Sand used to do their wet water planning.",x
the city Pittsburgh Water has expanded that to a much higher level of detail to help us understand the sewer capacity within the system.,x
"So that work is still ongoing, even as we speak.",x
Next slide.,x
So some of the things that we're keeping in mind as guiding principles.,x
"even though work has been suspended, we're thinking that we still need to maintain the existing infrastructure.",x
That responsibility doesn't go away.,x
"We still need to work with people who have either flooding issues, whether they be basement flooding or overland, To the extent that those are reported to us through the right channel.",x
Pittsburgh Water will still do the investigation to confirm where the problem is.,x
"Next slide, Next slide.",x
So we'll continue through the same thing.,x
"Anybody who's running anaffles without permission, who are impacted with the projects in question, are still trying to figure out best ways to go out and do community meetings and bring them up to speed what's going on and continue to maintain that two-way communication.",x
so it doesn't look like we kind of ran away.,x
"But at least the problem with things like that is when there's a void of information, people will fill it in with the wrong information and that's what we don't want to have happen.",x
"So projects that are moving forward: the Southside Flats sewer separation, the other one, the next one: we have partner projects with the Pittsburgh Rapid Transit folks that we regional transit- sorry, We have projects with them as well as PennDOT.",x
We've partnered with PennDOT with putting up the funds.,x
They actually have put together the projects and the contractor to do some of the stream restoration to help us with our permit.,x
The Woods Run Phase Two: AlkaSan is helping us with the growth funding on that one.,x
so that project is.,x
the intent is to move forward with the construction of it- MS4 compliance ones.,x
those are the two sites We are on the same permit with the city and those two sites are currently under construction: Glass Run and Shortier's Creek.,x
"And, like I mentioned earlier, we're completing design on the and, like I mentioned earlier, we're completing design on the Oak Ridge project and Fowler Park.",x
Fowler Park is a phase one over raw analysis that we're doing to see how whatever the projects that we come up with can still work for the park locally as well as help bring extra storm water to that park from the neighboring impervious areas Next slide.,x
So the main reason we're thinking the things that cause the project to grow.,x
So the main reason we're thinking the things that cause the project to grow.,x
"So the main reason we're thinking the things that cause the project to grow, the biggest one really is the funding side of it.",x
"And then there are also permitting challenges And, as most of you know, post COVID there's been a lot of escalation of construction costs and those continue to, where we have to consistently look at effectiveness of our project designs, look at ways to cut costs, if you will, moving forward with those projects.",x
"The other thing- that is the other thing that is helping us or we're thinking we're gonna look at, is: how do these projects fit in with the wet water plan that we need to do for CSO control?",x
How do those dovetail?,x
"How does it fit in with any of our storm water strategic planning that we've already done, as well as our wet water program that they're doing under their consent decree?",x
So that's another aspect that we're continuing to look at.,x
"even though it feels like everything is stopped, there's still work being done.",x
even though it feels like everything is stopped.,x
"even though it feels like everything is stopped, there's still work being done behind the scenes.",x
There's still work being done behind the scenes.,x
There's still work being done behind the scenes.,x
Next slide: They want one of the projects that has been front and center obviously is a four mile run project.,x
"We may go through during the Q&A we might handle some additional information on that, but right now just to say that the project is at 90% design.",x
a lot of the environmental green infrastructure type of things were removed for various reasons.,x
type of things were removed for various reasons.,x
type of things were removed for various reasons that we won't go into at this point.,x
"But this is basically now a storm water only project with the intent of addressing flooding, typically like a 10 year flood was the design for that.",x
We're looking very closely at constructability analysis.,x
There's a lot of when you think about what we're doing with the tunneling.,x
"we're going under an old railroad bridge, going through Greenfield Avenue, which is very, very crowded, and then we're running into a lot of obstacles on Second Avenue.",x
Some of it are Verizon conduits and things like that that may need to be moved in the process.,x
"So we're making sure that a lot of these things are taken care of, looked at before we go to final design and actually bid it, so we don't get in trouble with change orders and things like that.",x
"The one thing that has hampered us is, once those environmental and friendly parts of the project were kind of removed, You reduce the CSO overflow, which is the metric that AlkaSand uses to give the funding.",x
So it brought us below the funding threshold of the 10 million.,x
So AlkaSand has temporarily eliminated that for now.,x
"They're still asking us, once we finish the design, to come back and see if something can be remedied.",x
"We're not sure any of that will happen, But it's still a door that they've left open for conversation.",x
"But the projects have been completed within that four mile run region, The early action projects that were done on the bridle pad.",x
that has been very effective from what I understand from the people who live very close to that area.,x
The second thing that we think may actually be very impactful- but we don't know the extent of the impact- is the reconstruction of the M-29 outfall.,x
"There was a gate like a five foot high gate that was blocking, that was used to keep flow the river out of this sewer system.",x
That gate has been removed and now has a flap gate which acts differently from a hydraulic standpoint.,x
So one of the things we're thinking.,x
and then a lot of debris was also removed because you have a gate like that.,x
"it slows down flows, drops out a lot of stuff in the sewer, So we've also removed a lot of debris when that project is constructed.",x
"So we're having one of our M-29 outfalls, having one of our hydraulic engineers go to and do some evaluation now to look at to see if that improved anything.",x
"fortunately we haven't had really drastic storms since that project was completed, so we can judge by a level of flooding that has happened to date.",x
but we want to do a hydraulic evaluation just to confirm if our suspicions are correct.,x
so that's underway as we speak.,x
so looking forward the thought process and approaches to seek more grant funding.,x
"again, we don't know how, how these going to play out, but it's something that we are trying to look forward to doing and identifying any intermediary measures that we can.",x
"so, for example, just that evaluation i was talking about with the four mile run project and then working collaboratively with the council offices or anybody else that will have us to help beat the bushes, as they say, and see if we can come up with any kind of funding that will be helpful in the projects that we plan to do.",x
"next, and i think this is the questions, and yeah, thank you.",x
so we've also been joined by councilwoman strassberger.,x
does anyone else have anything they'd like to say before?,x
i can't see any more questions.,x
so we're gonna have to wait for the next one.,x
so we're gonna have to wait for the next one.,x
so we're gonna have to wait for the next one.,x
so we're gonna have to wait for the next one.,x
so we're gonna have to wait for the next one.,x
turn it over to members.,x
"no, okay, great, well, i'll.",x
"councilman charlin, let's go first.",x
you know i i don't really have anything specific because i think most of the presentation was about the four mile run projects.,x
like i said i i am concerned about the projects in south side.,x
i would like to have another discussion about that at some point in the future.,x
"but nothing, nothing more, for for today.",x
"you know, and i appreciate your ability to to juggle, as things from the federal government change dramatically and you have to react accordingly.",x
"so, but thank you, i appreciate it.",x
"thank you, councilman.",x
"well, i apologize and regret that another meeting kept me from from coming to see the presentation.",x
"i, as a board member, i have been briefed on this project and the trajectory it's taken, so i'm not unfamiliar.",x
"i guess my only question would be: is there anything that this that you think the city can do, as we have a a whole wide, not just on this project, but we have a whole sort of city-wide storm water management plan?",x
"is there any more that the city can do to partner, to assist, to help to achieve the same goals that we all have, which is a reduction in flooding, better quality of life for neighborhoods, procedures likething, storeeez and budget and ungefähr?",x
"thank you, new zone credit stock eerily.",x
"yes, we haven't kept in mind yet- umSenator mistakes origin, say, the south side park project on hold.",x
so i think what we had talked about was trying to figure out the types of mitigations that we could do.,x
"we could do as part of the project, like in phases, and work kind of closely with with dpw to see where there were opportunities where the projects could kind of mesh up.",x
"one of the things that friends of south side park would like to bring forward is the playground that is within the portion of south side park that i think is like right off of arlington boulevard, at the top near the football field.",x
so there's a playground that they have planned to build there and so that's something that they would like to move forward.,x
"so i think it sounded as though there was an opportunity to look at, look at the possibility of phasing.",x
"so where we could find opportunities to work with dpw to phase, i think would be useful.",x
does that leverage funds in a particularly strategic way?,x
sometimes maybe it's project dependent.,x
"okay, yeah, i think that we would need to look at the capital program to see where we would have opportunities to leverage anything.",x
"no, i'm interested in kind of hearing the the back and forth between the chair of this, this post agenda and pittsburgh water representative.",x
so i'll leave my questions at that for now.,x
"yeah, thanks.",x
so i guess my first question just to summarize again for folks: so what are the projects that are paused?,x
the list of projects that are paused?,x
we had a list the the major ones were the stewart avenue project for my run and i'm trying to go by up to top of my head.,x
do we have it on there?,x
"i'm sorry, i'm okay, i'm okay.",x
"yeah, i'm okay.",x
we've already met with the gardeners and there's one other one that escapes me now: south side park.,x
"so there's four, four projects altogether.",x
"so i'm obviously very familiar with the four mile run- yes, four mile run.",x
so i'm very familiar with the flooding impacts in that neighborhood.,x
what are the flooding impacts in the other three that have been put on pause?,x
they the stewart avenue.,x
one for sure is the flooding.,x
it's similar problems.,x
there was some road.,x
they had swells in the system before and then there was some road repairs that were done that basically eliminated that efficient way of getting the storm water out and that resulted in some localized flooding that we're also the plan was to alleviate with the new project and for that one does that affect.,x
are there residents that are affected by that one?,x
"so it's similar like oh yeah, but it's not the same level.",x
the four mile run one is fairly specific because it's more like a bowl area down by big jams.,x
"most of those are up a little higher, but it just it doesn't convey the water out efficiently enough, so it backs up on the streets and also, some of them, impacts their homes.",x
"okay, and then what about mlk field and south side park?",x
what?,x
what happens there when it floods?,x
"mlk field primarily- i mean south side park primarily- is a cso program, so i'm not sure it's so much a flooding issue.",x
"mlk, i'm not sure.",x
"mlk field was primarily looking at how we could retain water, and so the construction, the construction or the design plans were to install retention basins beneath a portion of the field and- and the main concerns- there was proper coordination with the gardeners so that their, so that their growing season would not be as as impacted by our water supply, and so it's a great thing to be able to do.",x
"but we were really looking at trying to retain, retain and hold back water.",x
"oh, i see, okay, so those were not like flood, like flood issues per se.",x
it was more.,x
"okay, so i guess- and i'll ask some questions- that i also that i do know some of the answers to.",x
19 was the last very bad flood.,x
"Yes, No, it was a 2020, That's right.",x
"21 was the last one we had a picture of, So 2021?",x
"Yeah, And just for anyone listening you know in the run and correct me if I'm wrong, but my understanding is that it is that when you get a very heavy rain, the water in the sewers comes down from Greenfield right And it overwhelms the pipes And what we get are manhole covers blowing off and literally the entire neighborhood from Acorn Street down to the playground and four mile run road filling with sewage.",x
And we have a lot of folks who live there And you know it's not.,x
"It's not a great situation, right, And it depends on how long the rain lasts, but basically it fills up, So it's like a lake, And then, once the rain stops, it drains.",x
"It takes relatively- I mean maybe 15, 20 minutes, something like that, for it to drain out, But we have had incidences.",x
"There was- I can't remember what year this was, but it happens very quickly- Yes, So one year, For example, there were customers coming out of big gyms and a man and his son had to scramble and to the top of their car and the fire department had to come And in fact, the fire department had a hard time reaching them because it was like they were out, sort of stuck in this lake.",x
That is what happens there.,x
"So, yeah, So you know this is sort of had a long history And I think it's really important that we agree with the neighborhood in this project.",x
"And obviously, just, you know This project for a number of years, for about six years was tied- at least the permits right.",x
"We're tied to the Mon Oakland Connector Project And you know the understanding from the community which you know is even now, even that I'm on counseling, I have a little bit more of an understanding of, like you know, the community, Like how things work and whatnot.",x
I still am not.,x
"you know, I'm still a little on the side of the conspiracy side of.",x
"you know, back in 2015 the city announced this project to build a road: 26 million was the original budget, over five, you know, over the years- for this project to build this road through Shenley Park and through 4 Mile Run And this project was really really close.",x
"It was 16 channel bundled to connect the universities in Oakland to a new development at the Hazelwood Green And of course, the residents and the run were beside themselves that this project was happening but their storm water project was not happening.",x
"And that you know that the city, of course, like we're all lumped in together, right, PWC of the city, right, It's all taxpayer money, but that somehow there was money to build this road for the universities and the development next door But there was no money to fix this flooding problem.",x
That's right.,x
"And then, just having, you know, the new public building now Bye-bye to the people over the time- And I think that wasn't part of the if- six- Chandler's upgrading, memorize the re.",x
"could you and Jay, Do you have back-share with you this flooding problem that had been going on?",x
"i mean, this is a community where people are, you know, replacing their boilers over and over again, just constant flooding.",x
"and so folks were upset and then, through the course of the six years where they, where residents, fought the city over the road, you know, then it was like, oh well, we're gonna do the project, the flood project, but it was tied to the road and residents felt again.",x
"i said and, and i felt at the time.",x
"i mean, i'm still a resident, but at the time i was, you know, just a just a neighbor- felt that folks in the run were being that they're, they're sort of that their flood project was sort of being held hostage, so to speak, by this road.",x
"that it was either like either you just shut up and accept this road or you just shut up and accept this road, and then you know, i mean- and i think that's something that i think that i've seen a lot of people have been doing in the community and i'm sure you've seen a lot of people have been doing that- and i think that's something that i think is really important to be able to see- is that you know you don't have to do it on the road if you want to get your flood project done or you don't get your flooding right.",x
"like you know it's, it's both and and in the permitting plans.",x
"i know this is painful, i know this is like this is a long, you know, but you know, over the and then and then you know, and then in the permitting you know it was very clear that the road was part of the permit for the flood right and so sort of underscoring this theory that it was like it was like either you get, either you do this road that the city wants or you don't get your flooding.",x
and you know the residents pushed back on that and pushed back on those permits.,x
"and you know lots of, lots of community organizing was done around that and finally, finally, after six years, right, we got a new mayor and that mayor, who had come down and you know, made this promise to us to stop this road project, kept his word, stopped the road project and then now, lo and behold, the flood project is cancelled as well.",x
so you can understand the line that is drawn between those two things.,x
"so you know, and i understand, that i i don't have, you know, i'm not on the pwsa board.",x
"i don't have control over what is done, what isn't done, so i can just ask questions about you know, from from residents.",x
"so, in terms of you know what's happening now in the run, like you know, i understand that there was some work done on the bridle path.",x
"i will say that since 2021, they're still like when we get a heavy rain, there is flooding, but it comes out of Shenley, but it's not.",x
it's not necessarily coming up out of the sewage.,x
"That's not what's happening, but we are still absolutely getting tons of mud that comes down from Shenley park, like down the zigzag trail, So that you know, I mean it's a heavy rain, It's like that whole section going into Panther hollow is just covered in mud, The playground is covered in mud.",x
"So you know, I don't, I don't know if I would say that the, that the projects up on the bridle trail are necessarily.",x
"I mean, I don't know again if those projects were intended to do, but but that is certainly still an issue I I've had, you know, working with Rachel ramp, you know I will say very responsive.",x
"you know, when I call and say, Hey, we've had a big storm, like can someone come down the run and like clean out these storm drains and whatnot.",x
So So I do appreciate that.,x
"but I guess you know, just to kind of start off, you know with the question, So so you know, one one thing that came up is sort of you know what's the difference between then and now, like what you know?",x
"you mentioned that you know the Alka sand project may help, like the, you know the, The M 29 outfall may have an impact.",x
So I want to let you all talk a little bit about that.,x
"So what is it that brought you to the place, aside from funding, right Aside from funding, brought you to the place of like, we don't need or or or.",x
"this is not urgent, as urgent as the other flood projects that are still moving forward, I mean, the only it's.",x
it's really funding.,x
"Yeah, honestly, it's really funding.",x
"the designing and the planning was moving along those lines even with the Alka sand project, but it's really the funding for the construction of the.",x
"So so why do we know, why can you explain why Alka sand pulled the 10 million Cause?",x
I know that the permits changed.,x
"I'll let, I'll let you talk a little bit about that Sort of the, the, what happened with the permit, And I've, I've, I've heard this, but I'll let you go into.",x
"So, the, the.",x
I never can tell what the acronym grow means: Greening out the grow project.,x
"They have a program where they fund reduction of storm water in the into the system, especially that storm water is shown to reduce the amount of combined sewer overflow that actually ends up in the streams.",x
"So when we did the initial analysis, it demonstrated that We're more than 20 million gallons- maybe closer to 30 million gallons- a year of combined sewer overflow that was reduced from the rivers by doing the daylighting portion that the Mon Oakland roadway would have been part of.",x
"So, if we're daylighted, the stream deepen the Pantaholo lake and dam and did all of those projects it would have resulted in, plus the storm sewer, It would have resulted in north of 20, 29 million gallons a year of combined sewer overflow And, based on the analysis, that we're able to say, okay, this makes sense for us to fund as part of those projects.",x
"When we took that part of the project out in order to move forward, it basically left us with just a storm sewer, and storm sewers, by definition, don't really reduce that much CSO because they don't start, They don't kick in Mm-hmm Until, like you know, two inches, three inches of rain.",x
What they were looking at was 24 hour stream Mm-hmm.,x
"Right, That was going into their system.",x
We were going to take that out.,x
Now that's still going into the system and we don't.,x
"we don't have the reduction, So it didn't.",x
we were not able to show up to 20 million gallons a year of CSO combined sewer overflow reduced.,x
"So, so again, and I was very familiar with those permits, right, I, you know at the time, The one thing I had to say to the people that I know that that was in the first year was in 2018.",x
"the road going away had no impact, as far as I could tell, on, I mean, and and the original plan was daylight the stream right.",x
So along the railroad track on the soccer field there would have been a daylit stream.,x
"you know that you, the, the, the run right Would have been daylit and then you know.",x
so why couldn't that be done?,x
"I mean, the road went away, but that didn't.",x
that was a separate The.,x
"the road going away Would have increased the cost Of the car data cost of the project in the sense that we're sharing back filling, so we're moving dirt from one to the other to help with the backfill.",x
so the road going away increased the cost.,x
but that wasn't the only reason.,x
the other reason was the getting permitting from the state.,x
on the actual daylighted street.,x
there were a lot of technical differences of opinion.,x
the state didn't like the approach we were using and the way they were recommending that we do it.,x
it came down: should you have a liner under that stream or not?,x
we thought you needed a liner.,x
"if you have a liner, you can maintain the water.",x
"state says: no, we don't want a liner.",x
"if you take the liner out, the water is going to disappear.",x
you're just going to have a dry channel.,x
"so that was, that was another point of technical difference.",x
and then the final one was at the at the lake point.,x
"the dam that holds the lake back right now is sitting on the right of way for the railroad, okay, and so the railroad gets involved.",x
"railroad says no, we're not going to give you guys a permit, some we you can't.",x
"once you start moving the dirt there, you have to get it totally off our right of way.",x
"and that was the third and final piece that there was no way we could do all those, meet all those different requirements within the timeline.",x
"we thought we needed to do that, to do the project between the railroad and getting the, the state to work out the liner issue, and then, with the roadway going away, those three pieces.",x
"basically, we said, okay, what can we do?",x
that still would help flooding the still.,x
and the consensus was we could still look at the storm sewer piece and just concentrate on that.,x
"once we made that decision, the 10 million dollars which would be enough to make sure that we got that water back to the system, and we could do it with the rain, because we could have used that more for the rain and we could have used it for water and we could have used it for the rain.",x
so it wasn't upfront money.,x
"we paid pittsburgh water, would have paid it up front and then got a reimbursement from our person.",x
"so, i guess, explain to me more about the liner.",x
"why couldn't we do, why couldn't we just update it and do it the way the state?",x
"if you thought we should do it, the amount of water that's coming off gonna fill it's, gonna go over a spillway and all of that water was gonna end up in this channel right all the way down, and that was a nice way to channel it.",x
"but when there's no rain, there was a continuous amount of stream that would be going through that channel, but it's very slow flow, so barely where you probably couldn't see it.",x
"if you don't have a liner, you'll be dry, you'll just infiltrate into the ground and you wouldn't see it, and so it'll be a dry bed pretty soon.",x
"all the stumps, tree stumps they were gonna put in out, all of that would die and it would actually be more of an eyesore.",x
"then it would be a living stream, which was the intention.",x
"so that difference of opinion in technical approach basically said you couldn't do the dry bed, okay, and then explain to me about the railroad because I thought that had to do with Panther Hollow Lake.",x
"yeah, it had to do with the lake being deepened and to do it we had to move the embankment, which the state considered a dam, and the toe of that dam.",x
"we don't have a map, but if you looked at the map, the way it is now, the current spillway and and the toe of the dam is right on railroad, right away, something you probably could have done in the 40s and 50s or whenever the dam was built, but you couldn't do that.",x
so which railroad is it that was not?,x
"yeah, I have to find.",x
"like, was it CSX?",x
"yes, yes, it was CSX, yes, so, just so I'm clear, what did CSX say we couldn't do?",x
"we have we would have to get the spillway off the right-of-way and we would have to move the embankment, the dam, off the right-of-way, which means we'll have to push all that back off the right-of-way.",x
"when you say back, you mean like toward the lake, yes, towards where the lake is not the right-of-way.",x
"so there's a whole lake down the right-of-way and that whole embankment would have to be pushed down the right-of-way and the spillway would have to be located off the right-of-way, and would that have been then connected to the stream sitting here right now I'm not even sure.",x
"just, it would be the.",x
"everything I just described just adds again, you just keep adding to the cost of the project.",x
so I'm still not totally clear.,x
"so this issue with the stream, you with the liner, okay, so let's just say like, was this a?",x
"i don't understand the 10 million dollar difference like, so we lost 10 million dollars because we took away the green infrastructure.",x
"that would have happened next, you know, along the soccer field, right along.",x
"yes, the 10 million dollars we were getting for the performance of the project, right, and the performance would have was the, the performance was there when you had the store, the, the green infrastructure, elements of it that would, that were like, yes, everything was there.",x
"once that went away, you rerun the models and you do the analysis.",x
you don't.,x
"you don't get the performance you get from a combined cerebral flow reduction, not a flooding.",x
the flooding remediation didn't change right.,x
"but what i'm asking is: so i, i understand about the lake, i understand that, like shifting panther hollow lake, you know, know, whatever, like 10 feet or yeah, whatever it would have had to have been.",x
"i get that, that is, you know, complicated, and moving the dam or whatever, but but the stream, i still don't understand.",x
"so, okay, there's, the state says no liner.",x
you say there should be a liner.,x
"yes, that seems overcomable.",x
"i mean, we can ask our army corps folks.",x
i don't know if you have any thoughts on liner versus no liner.,x
it depends on the intention for the stream.,x
"yes, yeah, i mean it.",x
"yes, the.",x
"the intention was to have a stream, to have a stream flow, right, yeah, i remember, and it was going to be like, yeah, it was going to be and it was going to be nice, right, yeah, right, and the only way that was going to happen would be if the water didn't disappear on the underground and then you have a dry bed.",x
"that was the the fear was for, because if not, the water would have been gone and the water would have been gone.",x
"so i think it's a great question, because if you could have a dry bed and if you could have a dry bed, and if you could have a dry bed, then if you have a dry bed, then all the root balls and all of those nice looking features that you, we were going to put in, all of that would be dead within the matter of, you know, year and a half, right, and then you have to go dig it all up.",x
you basically have an open channel swale.,x
"well, so again, i mean, and that's sort of what i'm thinking is, why could that?",x
"i mean, if it's again like the aesthetics aside, right, yes, forget about that part.",x
"but if just along the railroad track, on the on the park side, if you just said, oh, you know, if i'm using the boulevard track to transfer the dirty on slide, it would help the pasta roller, right, if i didn't know what was going on, yeah, i mean.",x
"okay, i guess, again, if i got a lot of heads, what would that mean?",x
so that's what i mean.,x
"yeah, of our, you know, route had a large, you know, i don't know, fill it with- again, i'm not an engineer- it would have been a large swale, that would have been.",x
"basically, the issue is the original intent wouldn't have been met and at that time- i don't know if people would remember this, but that was one of the hits- Pittsburgh Water was Blank water was taken.",x
was we do we give?,x
I do preserve this nice graphic.,x
"it green infrastructure's beautiful when it works and you get it at the peak time, but when it's dry season- or I always you know it's because it's off season- it doesn't look nice to a lot of people And we were getting complaints from people how these things look nice and it doesn't look like the pictures you showed us.",x
And so the risk of doing one of these where the dry beds would also be empty and all the other stuff it was like.,x
at this point let's put that aside and concentrate on the storm sewer.,x
It was really more an expediency type thing.,x
Let's go with this storm sewer and see if we can get that design and build.,x
Okay.,x
