sentence,classification
i think that is a critical question.,x
"yeah, thank you.",x
are there successful examples and best practices around education and advocacy programs?,x
"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.",x
"I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.",x
"I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.",x
But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,x
"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",x
So I'm just curious to know if you have any thoughts on that.,x
I'd like to go ahead and start to address that comment.,x
"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.",x
"We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.",x
"And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.",x
I think we have actually really benefited in some ways from coming along a little bit later in the game.,x
"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.",x
So we're here to really say these things work.,x
"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.",x
"But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.",x
"And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.",x
"So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.",x
"You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.",x
"you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.",x
"And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.",x
"And so we've, we plan on doing a number of behavioral or more education campaigns.",x
"One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.",x
"We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened.",x
"We would not have had that material to present to our Northside Propel scholars if Vision Zero hadn't convened, if we weren't able to use both our education committee and our Complete Streets Advisory Group as external reviewers of the materials.",x
"So that, I think, is just one example of something that we were able to do sort of on the education piece And if there's anything that anyone else wants to add.",x
"But, Panini, you go first, Councilman, to answer your question.",x
"yes, Education is a proven safety counter measure.",x
So we actually have a National Highway Transportation Safety NHTSA.,x
"They do a lot of research on that And what they have seen is whenever we do targeted education it works, And that's pretty much what we are trying to do here.",x
"But the goal is you have to identify that focus group that you are going for, that education particular, And the messaging needs to be very clear and focused If we can follow that.",x
"yes, Those education campaign number of cities in California and also in Maryland actually have seen decrease in their crashes just by safety campaign and awareness creating around school sparks That type of scenario.",x
"I also like the things in the plan that maybe don't jump out as education campaigns, but that, I think, would help as education campaigns.",x
"I mean, I think one of the things that I've often been struck by is the kind of difference in what, shall I say, community.",x
I'm trying to think of the right word here.,x
"When you talk to people in our neighborhoods about gun violence and, right, the community has a pretty high level of education about that and a pretty high level of wanting to engage and to think about that themselves and so on and so forth.",x
"right, It's a little bit different, I think.",x
still with crashes.,x
"I mean, Lee told me like 90% of roadway fatalities happen between a person and somebody who lives really close by to them, really close by.",x
I don't think that's really in the consciousness of people who live in our neighborhoods and who drive the cars.,x
"right, So there's a difference in the feeling about whether it's a community problem or not.",x
And so one of the things that I like that's in this plan are the community intervention.,x
"I've forgotten what you call them exactly, but I can put a planter on the corner here, right, I can.",x
"maybe we're waiting for Domi or whoever to do a speed bump, but in the meantime we can do what's in the toolkit to make the corners less blind, to do those kinds of things, And I think of that as much as anything.",x
"It will also prevent roadway crashes, but it's also a way to make sure that we're not just driving around in a car, but we're also a way for a council person to get out into their neighborhood and say: let's do a thing here, Let's get people invested in community road safety, which I also think will then start to penetrate people's consciousness in a way that is a little bit different than saying to a particular driver: hey, slow down.",x
Thank you for that.,x
I just have a couple other questions.,x
My next question was about just getting a little bit more insight on the collaboration you know with the state and PennDOT.,x
I know in the past there's been a perception that it's difficult.,x
"I actually had a meeting with the Lieutenant Governor last time I was in Harrisburg and we had a conversation, you know, with PennDOT about traffic calming on state roads.",x
"It's an issue that I talk about a lot with Councilwoman Gross and Councilwoman Strassburger because we share so many state roads, whether it's, you know, Penn Avenue or Fifth Avenue between District 7, 8 and 9, And I had a really great conversation.",x
I sent them over a spreadsheet.,x
"I sent them a list of the state roads that were, you know, in the city that have been an issue and they're taking a look at that.",x
"But I would like to hear more about, you know, ways that you know we could work closer, you know, with PennDOT, because so many of our primary roads in the city are state roads And you know I get calls from constituents: oh I can't.",x
"you know we, you know, put speed bumps all down Penn Avenue between Braddock and Fifth Avenue.",x
"I'm like state road, like we can't, you know.",x
So I would love to hear more about the collaboration with the state and how us as councilmembers can be helpful in that.,x
"particularly, going to Harrisburg and advocating on our behalf, Councilman, you brought, I would say, the elephant in the room.",x
"So, state route- we have only 12% state route in our city roadway- the boundary- And they're responsible closely nearly half of the crash that happen every year in the city.",x
Five of our top ten high-severity crash corridor that we have.,x
These are all state-owned.,x
In the last couple of years we actually did make some really good progress when coordinating with the state.,x
"especially, you know, the Safe Street for All grant played a huge role.",x
We are partnering with the state and also the county to develop our first Allegheny County Safety Action Plan And that also create our partners in the MPO Southwestern Pennsylvania Commission.,x
They have started another regional safety action plan.,x
"So, whatever you create this type of avenue, that's where you get to have those discussion, talk about whatever going on in the east side and what type of issue they are having on their side, The way we can operate- unfortunately for our state partners they have to cross a lot more red tape to make those things work- And also the way we envision the project.",x
"it can be low cost, quick bill, just a flex post and paint work.",x
When they're addressing health care- and this is a you know they're at the state level And they're at the state level We are working with them.,x
So you know we work with them for a long time And we do a lot of work for them.,x
"So I think the state and state you know once we have the opportunity, we are working on it.",x
they're addressing their state road.,x
it's really difficult to bring the safety benefit just by flex post for a state road.,x
"Simply, you have a very high volume, So this type of measure doesn't work.",x
"So whenever they try to undertake their corridor, it gets really expensive.",x
They have to go through a lot of red tape procedure.,x
They have a lot of oversight and process that needs to go through.,x
So that's where a lot of hang up happen.,x
But Stephanie already brought up that they are in our fatal crash response team and we're really glad the way they're collaborating with us.,x
Things are getting better.,x
"We get to create number of avenue through these plans where we get to talk with each other, understand how we can support each other.",x
But the truth of the matter is there's still a long way to go on that avenue.,x
One more thought: I think where we're making good progress is also on the road.,x
So what is not yet built with PennDOT?,x
So we've got this existing set of roadways And I think probably none of our roads were really built with safety in mind first.,x
"Whether we built them or PennDOT built them, that's not what people were thinking about.",x
It is what people are thinking about now.,x
"And so the conversations with PennDOT where I feel like all right, we're getting somewhere is when maybe PennDOT will say: what if we added a lane here, That would reduce congestion?",x
"And of course we immediately think, nah, no, That would increase speed And that we can have those conversations And we can say: listen, how bad is the congestion Like?",x
what are you really talking about here?,x
"Because every time you let people go faster, we know what's going to happen.",x
And there's a real openness.,x
I think there as there is a real openness to building multimodal facilities into their projects and so on.,x
"So I think there's the trying to correct for the errors of the past, which is, as Pini is saying, pretty tricky, But there's a lot of hurdles that we have to get through.",x
And then there's the what are we doing going forward?,x
And I think there we've made a tremendous amount of progress with PennDOT.,x
And you said: what's the percentage of crashes that are attributed to state roads?,x
So 12-person roadway responsible for nearly half of the total crash.,x
"Year to year it bounced from 44% to 48%, which year you're looking at?",x
"Wow, Thank you.",x
"And my final question was: I know it was shared on your Yeah, Slot deck- that last year was 17 crashes.",x
What was?,x
and I said it was a decrease.,x
What was it down from?,x
What was the prior number?,x
"So in 2023, it was 20.",x
2022 had been the highest for the last couple of years with 24.,x
"OK, Thank you.",x
"That's also my question, Chair.",x
"Great Thank you, Councilwoman Gross.",x
"Thank you, I don't have That many questions.",x
I am grateful for the work that you're doing.,x
"I appreciate that we have got people kind of across multiple departments here that are working on the collaborative, So to have set the goal, to have convened the right people at the table.",x
it seems like we're already seeing results.,x
"We all know that we have a backlog of traffic calming requests, right.",x
"I always like to give a shout out to the constituents of District 7 when, back in 2018, not only did they many, many years ago have, you know, they kind of first trial speed humps on the alley part of Goldway, which was preceded by time on council, But then we kind of we got the newer speed bumps, I think that are that were kind of the first ones that Domi had done on both on Millwood and then following up that on Edmond and Bloomfield, And that was, you know, a concerted consensus building, And so I think that's a really good kind of exercise with Domi that the constituents were very, very clear that they wanted, And I think it might even have been on the record.",x
when we were discussing it at the table here.,x
Council members were like that's.,x
you're crazy.,x
You know you shouldn't do that.,x
People will hate it.,x
"But, as we see, my constituents were right.",x
"You know, sometimes you got to let the people lead And now we have those requests coming from all across the city.",x
But it is.,x
"I do appreciate that you're pairing that communications and education, because people really, just they really need to slow down And we would have a lot less fatalities, certainly less injuries, and not have to do so much of the infrastructure changes if people would just drive slowly.",x
So I applaud all of your work.,x
I don't have any questions.,x
"Thank you, Madam Chair, Great.",x
"Thank you, Councilwoman.",x
"Thank you, Madam Chair, And thank you all And apologies for walking in late, But I think I've read the memo, or I was reviewing it, And I think I know a lot of what's in here.",x
"It's been a pleasure to have my office take part in the Vision Zero Task Force as much as we can And really grateful to your work, for especially the multidisciplinary, multi-departmental nature of it is the thing that makes it work.",x
"I've seen when it's, you know, when it preceded Domi, when it was like just DPW, like one person, and then it was, it was just Domi, And then you weren't really syncing up public safety and parking authority with Domi.",x
It really is the thing that makes the difference.,x
"I saw that in person while attending one of- unfortunately attending- one of the fatal crash response team meetups And even just kind of daylighting for multiple people who don't spend a lot of time in like the upper Pitt campus, you know upper Oakland area, realizing, oh my gosh, this is probably the busiest area of the city traffic-wise.",x
"Yeah, It's like.",x
"oh, it's always at 530 in the morning, Like okay, let's really focus on this, Let's really take this seriously And let's work with our partners at Pitt And let's work with UPMC on, you know, their hospital entrances, And it really kind of just highlighted for me how important the multi-departmental part of this is.",x
"So really grateful, And I mean I don't have too many questions either.",x
I think we're all on the right track here.,x
"I am curious, though: like when do we expect the pilot program, the pilot program around the city, the city's public health program around?",x
"oh, red light, I think I understand- Around neighbors, residents, kind of doing their own interventions and having that ready to roll out?",x
"Because, while I think that, you know, the plus side of the fatal crash response team is to be able to focus in on a really harmful area and make almost immediate upgrades, while we're telling them we have long-term- you know we're going to have to do this.",x
We do have long-term upgrades to make.,x
that might cost a little bit more.,x
The hard part is this nature of everyone: has an issue on their street or in their neighborhood and don't feel like they have the power to take action or do anything.,x
"It's like they're at the mercy of where they are on the list and if it's approved by you know the growing, the overburdened staff, Because we have this growing list of areas that people are concerned about.",x
"So, yeah, when will they be able to take action by putting the planter there or following the instructions from thecionalists to do that?",x
"Yeah, So in terms of the kind of enforcement combination, I can also address the other one, but for the education and enforcement, I'm working on getting scheduled at all the zone council meetings.",x
"I actually did attend zone four, which was great.",x
"Yes, it was great And yeah, so we're working on drafting materials based on people's needs, for them to be able to hand out and flyer and put on cars, And we have, like zone four- commander is on board, So we're going to hopefully launch in the next month or so- the sooner the better.",x
"And then, in terms of that traffic community traffic calming, we are waiting back to hear from a grant.",x
So if we do get that grant funding we can kind of roll that process more quickly.,x
"If not, we will reevaluate and see what we can do in the short term, But that is still kind of on the table for this year.",x
"Okay, I do think that's going to be the difference maker in terms of, like people feeling like, okay, I realize that there's a long wait, or maybe they don't know there's a long wait, but we usually tell them like: yes, this is one of even just 50 and one district alone.",x
You know we're really working with you and as hard as we can And you know they can do something in the meantime.,x
So I think that we've heard loud and clear that there's interest in this community or resident based neighborhood traffic calming toolkit.,x
I think the act of putting together A grant proposal really helped us sort of put pen to paper of what that would look like.,x
"So I'm hopeful that, even if we don't get a grant, there's going to be this grant that we applied for.",x
"There will be other opportunities, But, yes, having to discuss.",x
"you know what does an application process look like, What are somebody still needs to review, say yes or no.",x
There's a question of liability and who carries it.,x
There's quite a number of things that have to get sorted.,x
"the cost of materials: you know where we store them, Where we purchase them.",x
"Laying the groundwork through this grant proposal, I think, was really beneficial and it came together truly through the Vision Zero working group.",x
We had to rely heavily on Stephanie to pull together that proposal.,x
"This probably all goes without saying, but the The point at which our law department became comfortable with it and DPW became comfortable with it.",x
DPW just wants to be sure that what people are building is doesn't create additional hazards or can doesn't melt the first time it rains or you know.,x
they have some specifications.,x
"So if a planter, then the planter should be like this, if should be like this, and I think they're they're kind of putting those specs together which I think will help clarify for everybody.",x
"and then you know, and then we need to.",x
I think we have actually figured out.,x
"So once it's in the right of way, It's ours And people probably need to understand that a little bit about it as well, because if it turns out it is creating more of a hazard or it's not up to spec or it does melt when it rains or something we probably have to go in and take it out or something.",x
So we're going to need to do some education with people about how together we're managing – we're creating more safety.,x
"but we have to make sure we're not creating additional risk and we're kind of owning this project together, because we want people to do it and we want them also not to get super upset if we say: you know, we've got to back this thing up eight inches because it's – so we're really going to have to collaborate on these.",x
but I think it's going to be fantastic.,x
"Yeah, and even having neighborhoods collaborate with other neighborhoods, because I'm thinking back to the early days of the pandemic and the play – like the play streets and we had the sandwich boy Mm-hmm And we had the boards and we gave them out and designated play streets and people loved that.",x
"and then we're really upset when we sort of decommissioned that program because it wasn't needed anymore And so, like the expectations on the front end as well, along with you know how permanent or how temporary these might be.",x
"Yeah, it's all very complicated, but okay, But will, I think, ultimately be a great thing.",x
"And no, I don't have any other questions.",x
"Thank you all, Yeah, thank you, Yeah.",x
"so yeah, thank you all, you know, for being here.",x
"I just think, generally speaking, you know, when we talk about traffic calming, this issue it has all been on the shoulders of DELMI for a long time.",x
I don't know if we have numbers on how many projects we've done around the city.,x
I know it's a lot.,x
"I don't know, Angie, if you have any – Dozens a year, Dozens a year.",x
"And in addition, we do signal replacement and signal adjustment projects.",x
"Yeah, Yeah, Yeah, And we do.",x
you know we do a lot of projects too.,x
"So you know lots of work, very expensive work, being done all over the city And you know there's always some frustration.",x
"I think for some residents with traffic calming anything that's new, you know, and folks who aren't you know, folks who have lived here for a long time, they're like: well, why do we?",x
you know what I mean.,x
"This doesn't I don't need this Like, I'm a good driver, you know.",x
"But it's different now, right, Cars are significantly bigger, Significantly bigger.",x
"People are on their phones, so distracted in a way that we haven't seen before.",x
"Speeding, I don't know.",x
"I always sort of challenge myself sometimes, you know, like if you drive the speed limit, like 25 miles an hour, it feels very slow, Like you're like, oh wow, I'm going really slow, But that's you know.",x
"and also we have a lot more vulnerable road users, right, All kinds of folks now who are biking and e-bikes, and people have their kids on bikes and you know what I mean, And you know folks walking in here and there.",x
So I think that's important to keep in mind.,x
I will say just to sort of shout out to Domi: you know I really do love the data-driven approach.,x
"You know, I think in past years it- and I notice it myself too- Like you'll sort of You'll see, you know early investments in traffic calming were sort of like maybe it was a little bit more of a squeaky wheel approach.",x
"So you'll sort of be in a neighborhood and you'll see like half a million dollars of infrastructure on a little tiny, you know, intersection And it's like, oh man, this could have been how many speed bumps, like in other places.",x
"So you know, I'm grateful that you guys are taking that.",x
"you know, on the high injury network, safe routes to school.",x
That's what we should be doing And that's just to also remind folks when they are asking for speed humps.,x
that's how we're doing it right.,x
We're doing it based on the need.,x
"Actually, one quick.",x
"Donna, would you want to come up to the table, Because I know that crossing guards are a big part And I know lots of folks have some questions on crossing guards.",x
So that is kind of my first.,x
"Okay, So my first question would be: you know what is the crossing guards?",x
Because I know I have requests for crossing guards at big intersections.,x
"in Squirrel Hill, in Hazelwood, We're hiring.",x
things are a little bit different And what can you tell us about sort of how things are going in the crossing guard world?,x
"The crossing guards are hiring, So anybody across the city can apply.",x
You need to live in the city.,x
"We also get requests for crossing guards, But we go out.",x
"We go out and evaluate the intersection, Things like the amount of students that intersection serves, safety issues, pluses and minuses to safety.",x
"Is it a stop sign, Is it an intersection where there's a light signal Or is it just a crosswalk?",x
I'll give you some examples: South Dallas and Edgerton.,x
We only have a crosswalk to get kids across that street And those people speed on that street Speed.,x
So that would be an intersection that you know we look at.,x
"There's some other ones that we're working with DOME, where we definitely need to have somebody up there And as soon as we can either reallocate some resources- meaning some of our people- or bring new people on, there's intersections that are on the list- that will be getting a crossing guard As soon as we get people in.",x
"So it's a process, It is, And sometimes it takes longer than what some people would like.",x
"You know they think they can snap your fingers and you get a crossing guard, But it's a little bit more extensive than that.",x
But the safety of the children in this city is most important And part of it is also teaching young people and adults.,x
"This is going to sound so just basic, but crossing the street I'm usually out all over the city, whether it's special events or just engaging with people, And the amount of people that I see that cross against a light while they're holding their child's hand is unacceptable.",x
"And it's interesting because I have these discussions with the people in this building, because I am here a lot down here at the city county building, Yeah, And I'm at 4th and Grant And I'm probably the only person that stands there and waits to get the walk sign, And I do that on purpose, because you never know who's watching you.",x
"There could be people on a school bus, and it doesn't have to be downtown, It could be anywhere, Penn Avenue.",x
"There's people, there's young people on school buses that are always watching everything we do.",x
So it's time for for everybody in the city: adults.,x
