sentence,classification
"Okay, thank you, Madam Chair.",x
I would like to.,x
"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.",x
"Director Gula, thank you, Yes, Good morning.",x
"I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.",x
"Okay, thank you, Thank you both for being here.",x
"Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right.",x
"Okay, Just because it was brought to my attention.",x
I never.,x
"I don't know how processes work in certain departments in the city of Pittsburgh, But I just want to for other council members to know the kind of how it came to my attention, And then you could fill in the gaps and questions that we might have for you.",x
"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
"Okay, So we have a process where, if somebody wants to purchase a city-owned property, they put hand money down, And is there a certain percentage that's always on that, Or is it always on the percentage of that sale of the building?",x
Is that right?,x
"It's a percentage of the sale of the building or the land, or 250, whichever is greater, Got it, Okay?",x
"So a constituent- Yeah, So a constituent, Yeah- came to me- this property lies in brookline, my district, of course- and told me the scenario that they had went through.",x
so what happened was they put the hand money down in expectation to get the property.,x
"you know, obtain the property, i think in our forms it says it could take anywhere from 18 to 12 to 18 months or something of that nature.",x
"so, so she put the money down, and a substantial amount, i would say, put the money down and i guess we put that money towards the administrative costs and things of that nature.",x
"is that, is that what we do with that hand money?",x
or do we just hold that?,x
it goes in escrow?,x
"because an escrow, okay, good, good.",x
so it went beyond the 18 months.,x
"it was, i think, a little bit over two years, finally that this person decided- you know what the place looks like- it's deteriorated beyond what is really repairable, okay.",x
"so he or she was asking for money back, right, and we talked about this.",x
"we were worried as a city that it might set precedence, because we don't typically do that- it's in the agreement- whereas you know you put the hand money down, you're kind of tied into the property at that point.",x
"there's no refunds, basically, well, not entirely okay.",x
so that's on the bills ofrez against you small area houses.,x
"but yeah, are there any real some other documents like hyphens, mentioned in, i think, maybe the statue, whatever?",x
is there stuff around the council?,x
so the reason why this last thoughts is continuing to take- i think that's what the discussion is going on for a wholeOUR.,x
"Okay, I just want to state that as the city, I think we have issues with our process more than anything.",x
But you're correct and you know we don't want to set a bad precedence.,x
"It's not, it's kind of in the agreement, but also in the agreement is eight, twelve to eighteen months and you know Things of that nature.",x
I think what's really wrong here- and the reason why I want to- I really wanted to just bring this to Light so we can correct this moving forward- is the 24 plus months right Now.,x
"I rode by, I go by this house, houses right at the bottom of the hill for me.",x
I went by there today and I'm telling you there was holes in the roof of this big around right.,x
"That's like bad, bad news all the way down, right.",x
I mean it's like This person is probably not the right person for this property.,x
I will tell you not at this point.,x
"The right person is somebody like me: a general contractor come in and has to like kind of strip this Property down to nothing, basically, and rebuild it.",x
That's kind of where I feel that's just an outside observation from the ground.,x
"I wasn't inside this place, I didn't inspect it or anything of that nature, right?",x
"So So this person wants to move that down payment at four thousand dollars That they had put down for the to the shore, that cost to shore this property up to another property, and we don't do that either.",x
We have not done that.,x
We've not.,x
"there's not a president's of that, That's not.",x
we've done it one time.,x
"Okay, and we did it one time because Solely on the part of the city, the and it may have even come to A point where their original application had been lost, and there was some.",x
"It was one of the sorbs, It was one exception to the rule.",x
I understand We don't want to make this a norm.,x
I get it.,x
I think you're doing the right thing by sticking to.,x
"you know, yeah, we don't.",x
"you know We don't want to go off course, share- We really don't.",x
and then who knows?,x
you know how many sales are pending out there.,x
I have no idea.,x
I'm honest with you.,x
"I have to say that the reason that it's like this is because at a certain point, the city starts to expend money in order to complete the sale.",x
"so we Pay, like quiet title costs which we hope to recuperate at the close of the sale.",x
"So, and this money comes out of the 3 TB trust fund, a trust fund that we've worked extremely hard To keep from going into the negative and have built it back.",x
"So if we consistently allowed people to actually do that and refund all of that money after we've expended it, Then that becomes a problem.",x
"right, I agree, and You know, to be honest with you, I'm not necessarily asking you to refund this person's money.",x
"I think that it is the right thing to do, and you know.",x
But I don't think we're in a position.,x
"We'd have to get our solicitor up here and, I think, talk further about this.",x
Unfortunately we don't have the time right.,x
"the sale of this property is coming up, I think within two weeks, as to that person needs to act on it or we just need to rescind the sale and they lose The money, right.",x
so so that's where we're at with this.,x
"I would love to Refund this person, but I understand exactly what you're saying.",x
"Okay, but again I feel like we're bad Realtors here.",x
I guess you right.,x
"I mean, we take hand money down and again this substantial amount, four thousand dollars, I think it's okay for me to say that, You know, on a piece of property that at the time was probably worth every bit of what that person's paying for it, two years goes by And again I'm almost positive.",x
"I can't say certainty, but the person would not have, You know, went ahead with that hand money had they seen the hole in the roof this big around in the front You can see from the street, you know, and that tells me basically big, big, big problems, right.",x
"So whether it was bad decision from their part, maybe, you know, maybe that place wasn't inspect out, in inspected two years ago.",x
Did it just all fall apart in two years?,x
I can't say that.,x
"you know, I could tell you that hole probably wasn't there because that would have been like so.",x
"so my, what I'm really trying to achieve is Moving forward.",x
I feel like we need to move these properties.,x
"We don't have to move them if we stabilize them though, right.",x
I mean I mean just bring in public works crews.,x
"right, We could do that in-house.",x
I would hope just to out of the 3 TV trust fund.,x
It needs to be paid from there.,x
"So unless that trust, we can't do in-kind work from the city.",x
"No, we can't say W charges us if we send.",x
"you know, if we send public works crew out to board up a building because The windows were broken out or the door has been compromised, I mean we charge us for it And it goes.",x
it gets charged to the trust fund.,x
"so I mean, Ideally that's the place that we would like to be in.",x
"director Hornstein, We're not you a bill, basically, For we pay holding it up and that goes.",x
where's that money?,x
"I'll go to it, It would go to them.",x
"or even if they charge us for demolition, I mean we hope to recoup costs on demolitions when we.",x
"but it gets, you know, bill to us.",x
"We may not pay it instantly, Instantly at that moment, but eventually, you know it's supposed to come from that trust fund and reimburse this.",x
"It's not necessarily in kind and something like repairing roofs- It gets paid out of the 3 TV trust fund, like we would have to Secure a contractor and pay for it.",x
"So even if you use in-house, were built for it, something like that- It's likely to give you a discount at least.",x
"So, anyway, what my point is this: moving forward, We need, if we accept hand money on a piece of property and if we're not sure, we can turn it around and say eight months, First of all, I'll need to be in writing.",x
this all needs.,x
you know that we have 12 to 18 months.,x
It could take.,x
this took 24 months.,x
"We need more clarity, right, We need to do in a certain time period or we need to stabilize.",x
I think the best thing is stable.,x
"part of that timeline, though, is also attributed to how fast the actual purchaser acts.",x
"so this specific purchaser we requested- I think we sent them a letter in October of 22- Said that the legislation had passed and you're now required to give us a title report, and we didn't get it.",x
It's supposed to be in within 60 days.,x
"We didn't get it until like four months after that, So we didn't get it till sometime in January.",x
"Yeah, I'm not Like China And we say 12 to 18 months, but there could be.",x
"there's things that we don't have control over and part of that is quiet title with the courts and Even though we may file a petition, it could take a long time for it to move through the court process in Order to get final orders and complete it.",x
"Okay, and let me just stop right there for a second.",x
"So if They, you know you do all the title clearance whatever- you pay an attorney, I guess, to do this groundwork.",x
"So if, like this person's asking to switch that credit that they put down to another property- What amount of work is done On that first property that we don't have to do again- that we could credit this person for meaning title clearance.",x
"right, I mean right, there's certain things that are done out of that hand money That will be there for the next buyer that we don't have to do again.",x
That's what I'm asking.,x
"right, we would put it up for what they call sealed bid and we would put a bid amount and send a letter to.",x
I Guess whoever else was interested in it could apply for it and we'd have to Put up for bid where they would enter in a bid price through them.,x
"I mean, we have to go through the whole same process for, so say, for instance, If we gave this person back there, refunded their hand money, Would you have to go through the same process every part of the expense that the titles already quieted, Expended the money for it.",x
"So it's title right, but it's quieted title in the name of the purchaser, So we would probably have to go back to court and adjust it to the city.",x
"Okay, I'm probably getting off too fast.",x
"Okay, I get it.",x
"You know, I know there's this complicated, believe me, and that's why I struggled with such a thing.",x
I'm like I've never been in this situation.,x
"David, you can say I'll let you speak as soon as I'm done with my last point here.",x
"Okay, the ultimate goal here, I feel, is like: right, this is a person, a young professional, wanting to go through the city of Pittsburgh, purchase a Affordable home.",x
what they thought or think is an affordable home.,x
"so Again, when I say we're bad Realtors, this person's leaving losing their hand money.",x
"I'm not, I'm not casting blame on us or this person, necessarily, But this is the result and sour to our process.",x
I'm sure I haven't spoken to that person on those terms and We got a property that's still blighted and sitting there.,x
"and you know, I'm thinking, if we did just stabilize this thing, I'm sure that person would have gone through with this sale and we'd have this thing back on the tax roll And so.",x
so now I still got a blighted piece of property there.,x
This person doesn't have a home and probably can't.,x
"You know, I don't know what 4,000 means to this person, Right, but to me it's a lot of money, to me still, right, and I'm 60, so So, so that's my goal is really to get the process moving.",x
I would like to see a stabilization now.,x
"I understand, director complications.",x
"if public works is billing us, Maybe we could straighten that out here at the table.",x
"I don't know, You know, I have no idea, to be honest with you, But but if we can use public works people just to do the basic repairs, So this property doesn't deteriorate to a point where it's- and you, you couldn't even move in this property for a year, There's that type of work to do: chimneys, roofs, Windows, siding, doors, you name it right, That's just the exterior.",x
So so I just don't want anybody else to be in a bad deal and- and I'm not saying we set this person up.,x
This property is probably worth what we're asking for to somebody like me who can come in with trucks and labor and not Expend that type of money on it.,x
So so I like the asking price.,x
"I just really want to make good for this person so they can use that money and- and if we can do it in any tricky way- Transfer, I don't know, you know, just find a way where they can still put use that some credit.",x
there Doesn't have to be all of it.,x
"you know, if we could Figure out what we expended on the first time that we don't have to this time, Maybe there's a difference there, I don't know.",x
So so that's my goal.,x
"Okay, I know you're uncomfortable with it, I'm uncomfortable with it.",x
"I I wish you, you know, wasn't in my lap to be honest with you.",x
So so go ahead.,x
I'm sorry.,x
"Yeah, please, Councilman, I just wanted to, you know, make sure that we're addressing your, your global concern, and not just the the minutia of this sale.",x
"right, and you know, as we've discussed, you know, we want to thank City Council for their work and investments on tools like the land bank.",x
I think the situation we're talking about here on a.,x
you know the specific case is Really well suited for a land bank transaction in the future.,x
the process started well before we got the land bank up and running and moving and processing properties.,x
"But the the flaws in the city sales process from a structural standpoint Right, are the reason why we've worked so hard to get the land bank functional after a decade of it not being functional.",x
And so I I just wanted to point out that you are correct.,x
"This probably isn't a, you know, great process for the scale of the project, for the individual in their capacity.",x
"and To your points about improving the process, I think we've already done a lot to improve the process and make the public options available through the land bank And you know that's a credit to City Council as well.",x
I Agree and you're absolutely right.,x
This really belongs in the land bank.,x
I feel right.,x
"I mean, this is what we kind of created the land bank for.",x
"this still, like you said, started before, So wasn't could even be part of that process.",x
"I guess could this sale of this property go to the land bank now, if I Mean- I Don't necessarily know the legality of it- We recent, if we it wouldn't solve, to answer your question, Most simply wouldn't solve the question at hand, which is that the legislation on the table right now does seek to refund the hand money, Which we'd like to see amended.",x
I think we would still like to see that part of the bill struck.,x
"and then whether or not it makes sense To move forward with a land bank transaction is a question beyond you know, the, the director and myself.",x
"it would have to involve You know land bank staff and other individuals talking to the interested party here and trying to figure that out, But I do think it's a potential solution for sure.",x
"Right, Is there a Director?",x
"is there a record of others asking for their money back, or is that something that doesn't commonly happen, or is it?",x
"there are some occasions where people do ask some situation like The buildings, like not what I mean.",x
"you know various situations And we've denied every single time: Okay, Well, that's, that's Even in the man.",x
"someone did take us to the magistrate over it and they held our contract, got it.",x
"Yeah, I understood, understood, And again, I'm not really trying to.",x
"I don't want to city to do something It's not comfortable with in a legal way, honestly.",x
"so I'm gonna vote for it Anyway today, just out of principle.",x
"but You know, I really Hope we could just dive right in and change how.",x
"to be clear, We're not against the principle, We're just Against, I guess, a precedent that it could set in the future.",x
"I believe that could bankrupt that trust fund and you should be, yeah, and you should be honestly so.",x
"you know again, I'm not casting fault or blame, I'm just saying when we take hand money on a piece of property, It should be at least in as good as shape as when we took that hand money.",x
But let's be clear.,x
this first point is: I'm gonna leave these times easy.,x
I think that is.,x
I would agree fully.,x
So you give me your take on this Question.,x
"first, Yes, you can probably see.",x
I thinkidades in a delay.,x
I haven't actually read it.,x
I'm gonna period.,x
Second question: definitely Ask: What is this difficult right here?,x
It's just this: this Consumption of money is absolutely Right.,x
I'd go this way.,x
So two families have iso.,x
The simplest solution here is shortening the amount of time that the sales process takes that way.,x
I agree with you in principle.,x
"Our goal should be, when somebody enters an agreement of sale for a property, that we should be moving as quickly to get that out of the public hands and into their hands so that what they've agreed to buy is in a substantially similar state and that they're able to get moving as quickly as possible.",x
"I think that benefits the individual, it benefits the neighborhood and the residents surrounding that property and, ultimately, is a fiscally responsible decision for the city, which is again why I will keep emphasizing the use of the land bank as a tool.",x
I think some of those other solutions you're bringing up may have been worth exploring.,x
"if something like the land bank— I got you- If we didn't have the land bank, the land bank wasn't up and running.",x
"You're not saying more Honestly, you're right on.",x
You really are.,x
This is an unfortunate situation.,x
I'm really just trying to—the person.,x
"I'm sure this money means a lot to them, and probably the difference of them securing a home or not.",x
I want people to be encouraged to use the city process to buy these homes.,x
I guess it's hard for me to speak up because I have no clue as to what the rest of the inventory looks like.,x
Is it buyable?,x
Is it movable?,x
"How much money do you have to put into a certain property, But this certain property, if this council doesn't approve this money back.",x
I don't think this candidate or this person has the resources.,x
It's going to be a quarter million dollars to bring this place up to speed.,x
I will tell you That's what I'm thinking about.,x
That's conservative.,x
I mean everything right From the top to the bottom.,x
Maybe the frame- Hopefully parts of the frame- are good.,x
"So, again, it was really the wrong customer for the wrong house and that's probably not our fault, honestly.",x
"That's all for now, Thank you.",x
Thank you for your time.,x
I think it's time for me.,x
"I guess I'll open up to other council members, Appreciate you working with me on this and hopefully the land bank could settle all this stuff for us in the future.",x
"So thank you, Madam Chair.",x
"Thank you, Sorry it takes so long.",x
"No, that's okay.",x
We have a couple of other members who have indicated they'd like to speak: Council Member Warwick and then I know Councilwoman Gross online would like to speak.,x
"Hey, thank you.",x
"Just so I'm clear on Okay, Okay, Okay, Okay.",x
So we had someone who wanted to buy.,x
This was a city-owned property- Someone who wanted to buy it.,x
How much was the for sale price?,x
"40,000, Okay.",x
"So they wanted to, So 40,000, and they put down 4,000, Like a 4,000 sort of hold.",x
What was this?,x
"4,000, Okay, And they put down 4,000, Yeah, So they put down 4,000.",x
"And they put down 2,000, Yeah, 2,000, So, 2,000, Okay, So every time they'd like to, So we have a chance to go inside and check it out and all of that Yep At the beginning.",x
"And was there some kind of like report, Like you know, state of the property report or something like that?",x
"We don't do that, but we will set up a.",x
"Okay, If they wanted to go in and view the property, they could bring whoever they'd like to go and view it with them and give opinions on how much things would cost and what repairs would be needed.",x
They could bring whoever they wanted to.,x
"Okay, So they could anybody.",x
"and then- that's part of the process- they could schedule a viewing with the staff and they'll take them out- Okay, to the property, open it up for them and they can go in and see- Okay, whatever they needed to see.",x
"and take any contractors- Okay, I wanted to with them.",x
and do we have someone there?,x
"like, if they want to do that, Do we have someone there?",x
they set up an appointment and my staff go out with them.,x
"Mm-hmm, They coordinate ahead of time.",x
They set a date just like you would.,x
"for you know, like a, I'm just a real estate agent, okay, open, not necessarily an open house where it's open and people come in and out, but they would schedule a viewing and After that they, if they decide to move forward, what they signed, some contract that says there's a proposal to purchase, Okay, that they sign it's a contract, and they put down their hand money, Okay, and then we send legislation to City Council- I think we actually have legislation on the books today with a List of properties that those are people that have applied, they've been approved as buyers.",x
They put down their hand money and now we're presenting them to you to okay the sale those properties to these individuals.,x
"okay, so, and in that contract does it say anything about, like, You're compelled to to go through with this?",x
"it, Regardless of what happens to the property between now and then?",x
"it does then okay, Okay, So.",x
"So we don't actually know, Sort of like, the state of the property.",x
"we don't have a record of the state of the property at the time that this initial exchange happened, Like whether there was a hole in the roof or whether now, so we, okay, Maybe that would be something to Even just like a, I mean if we're there anyway normally.",x
"so when we price a property, we look at comparable properties in the same area in order to determine a price.",x
"normally, if the staff is aware of compromises like that, some especially something that's visible, like a hole in the roof that you could see from the street, those things would have been noted and taken into consideration at the time of the pricing.",x
"okay, okay.",x
"so i mean, do we acknowledge that the whole came over the course of the?",x
"i would assume it would, would have come after, or else we probably would have noted that there was a hole in the room, there was a hole in the roof, okay and okay.",x
"so so the contract was signed, the they paid their four thousand dollars.",x
"you know, they put down their four thousand dollars and then you said there was, we sent them something and then it took four months for them to send it back.",x
"so after we send the legislation to council and council approves the sale, usually send a letter okay, stating that council has approved your sale, the sale is ready to move forward.",x
"you need to secure a title report and i think we give them 60 days, okay, in order to they're they're responsible for getting one and submitting to us, okay, a title report.",x
that title report is then used to start the quiet title process.,x
got it okay?,x
"so the 60 days, so two months, do we send like a reminder, like maybe they didn't get the letter or something like that?",x
i'm not sure if they do they.,x
i think manda might reach out if she notices that there's no response and it goes on for a while.,x
"okay but, and she may do that by phone or email, okay, okay, but in any case it was, it was four months to get get the quiet title process moving.",x
"yep, and then, and- and i know that this can vary, but in your experience, what is assuming you had, like you know, an attorney who was ready, you know, just had nothing better to do but quiet this title right, what would be, generally speaking, the, the fastest turnaround generally on on quieting a title?",x
"like eight months to a year, that's moving really quick i think and that depends on.",x
"so, as part of the title report there's a list of basically a creditor, like anyone that would have any financial interest in the, in the property, that, or any attachments, and they have to send notice to all of those people in that list and they have to give them a certain amount of time to respond in order to object to the quiet title of the property.",x
"so, depending on whether or not they hear back from the those individuals, they may have to mail things multiple times if they get no response from them.",x
"okay, so that.",x
"so that's like a year, basically, no matter whether you're the land bank, whether you're the city, whether you're, it takes, it takes months to actually do that, but it's at least 30 to 60 day notice, and if they don't receive something back, it may start that time clock all over again.",x
"okay, so, even like best case scenario, we're at 14 months, right, because of the initial delay and then, and then quieting the title.",x
the quiet title is the longest part of the process.,x
the quiet titles hands down.,x
"so, oh, and here's a question, how much do?",x
"well, do we know how much we paid to?",x
did we quiet the?,x
"we quieted the title on this property, okay, and do we know how much we paid to do that?",x
it's at least.,x
"i think it might actually depend, but i'm not entirely sure, but we did expend money to do it.",x
"So, a couple hundred dollars at least.",x
"Oh, just a couple hundred dollars.",x
It could be upwards of that I don't know.,x
Are you sure You know offhand?,x
"I'm sorry, That's okay.",x
I don't think we have a known cost.,x
"in addition to attorney's fees, You'd have to calculate in staff time and capacity spent.",x
These are all sort of the expenses to the public that the hand money is meant to account for.,x
"But it probably wasn't 4,000.",x
I have no idea.,x
"I don't know how much staff time or attorney time was spent on this property, So it's hard to say It really is.",x
"The filing fees could be a couple hundred to 1,000, but there could be more involved in that.",x
"Okay, Okay, And then again.",x
so I guess I'm a little confused too about DPW.,x
"So you know we have DPW workers who come and board up a house that we own, right?",x
"Yeah, I guess I didn't realize that either.",x
So they like invoice the finance department?,x
"Yeah, they can.",x
"I mean, they have costs as well.",x
"Sure, sure, sure.",x
"And this isn't like: keep in mind, we say city property, but these aren't strictly city-owned properties.",x
"These are properties that we took in treasure sale and the financial interest doesn't just lie with the city, It lies with the school district and the county, Mm-hmm.",x
"So, which is why there's a separate trust fund, Got it?",x
So DPW expends money in kind for properties that we own outright.,x
"Okay, That's their job, Got it Right.",x
"Okay, They maintain our city-owned parcels and buildings.",x
"Okay, This is not that These are separate.",x
Now I'm understanding.,x
"Okay, so that is because these properties are not just.",x
"it'd be like if me and my three friends owned a property and there were costs, all of us and this person did work.",x
"Yep, We're all.",x
that's how we all.,x
it's like a joint account that we all three pay.,x
"This trust fund would be responsible for paying any like water bills if there was water turned on, Got it.",x
Electric bills: It comes out of there.,x
"It does not come out of DPW, Got it?",x
It's like your joint account with your spouse or whatever You're like.,x
we pay all the family expenses out of this and then we have our own accounts for our own.,x
"That's exactly right, Right, right, right.",x
"Got it, got it, got it.",x
Okay.,x
So that makes a little bit more sense.,x
"Okay, So I guess I understand, and now just sort of a.",x
"so, generally speaking, because I understand, like, and you know, I'm very glad that the land bank is doing so well, So could you just overall sort of over, like last year, how many properties did the city move To sell.",x
you know how many properties did the city sell through this process?,x
Through this process?,x
"it's a couple hundred, which is actually the most that we've ever done.",x
"That was in 2024, Yeah, Okay.",x
So like 200.,x
and do we know how many we did in 2023?,x
I'm slightly shy of that.,x
"And then, prior to that, like, well, during the COVID era, next to nothing, Okay, And then prior to that, maybe 30 properties a year, Okay, Maybe, Maybe, Yeah.",x
So what has been the difference?,x
"Like, what's been the difference from?",x
"like 19, or just 19, 2000, I don't know- 18 between 2022?",x
"Like, what's the difference?",x
"Do you have more staff, Some of the process improved, better staff and process improvements that we have made?",x
"Okay, And granted, it's not perfect and it still is long, but it's way shorter than it has ever been and which has allowed us to actually do that.",x
"Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Okay, Okay.",x
"So, some to the URA, some to the land bank and some to, but we've significantly- It's like a third, a third, a third, so- Okay, Okay.",x
"So that's a major increase, So that's good, Okay.",x
"So now- and this is my last question, so just so I'm clear, so we're this.",x
this bill is to refund the person their money.,x
"Yes, And from your perspective, this is not something that we do.",x
"Once it reaches, once a sale goes past council approval and the city starts to expend the money to quiet the title and to complete the sale, then anything, if you were to back out of the deal after that point in time, then the city sees it as a forfeit and we keep the hand money in order to account for any holding costs or attorney costs that we would have incurred during that time.",x
And is that clear to the buyer up front before they?,x
"It's in the proposal, Okay, And it's in.",x
I think it's posted even online.,x
There's a standard sale process and I believe it's actually there as part of the standard sale process.,x
"Okay, And so, with this particular buyer, I mean, was there like some?",x
"well, I guess I don't know if it was like.",x
"I mean, I get it If it was someone who was confused or thought that it would be a great idea, I mean, you know that happens- like, oh, that'd be a great idea, Let's do it, It'll be easy, you know.",x
"And then it's like, oh my gosh, it's not.",x
it's actually not as easy as I thought it would be.,x
"And but we're worried of like sort of like a slippery slope, like if we do it for this person, Then we would, then we open the door, Then it would be like precedence to do it for other people.",x
That's right.,x
"And a concern is, if you allow even to transfer that money from you know this property to another one that they were wanting to purchase, what if they fell through on that purchase and then they wanted to do it to another one?",x
"Like, where does?",x
where's the line in the sand that we draw?,x
Do you see what I'm saying?,x
"And is the reason that we is, the reason that we take that down payment?",x
"is it because we're about to dive in and like spend a bunch of money to like quiet this title And so we don't want people just be like: oh yeah, I'll take it, sign me up.",x
"And then we spend all this money to quiet the title And then they're like: oh yeah, nevermind, Sorry, I'm not really interested.",x
So that's what this is about.,x
It's like.,x
"it's like you know, you have a catering business and someone's like: I'm having a big party And you're like, okay, great, Give us whatever Cause if we buy a bunch of stuff and spend a bunch of money and then you back out And they're at least compensated for what they put out.",x
