sentence,classification
We need a motion to either interview or approve.,x
"Motion to approve: Second: All those in favor say aye, Aye.",x
Any opposed.,x
The appointment has been approved.,x
And now we have three communications.,x
"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.",x
"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.",x
"And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025.",x
"We need a motion to read, receive and file, So moved.",x
"Second, All those in favor say aye, Aye.",x
"All bids have been read, received and filed.",x
"That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law.",x
"Thank you, Mr President.",x
"Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.",x
"Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh.",x
"Thank you, Thank you As of this Board meeting.",x
"london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill.",x
All bids have been read and received.,x
"like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij.",x
"Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse.",x
"criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services.",x
You've heard the reading and title of the bill.,x
Is there any discussion?,x
"Seeing none, the bill is now ready for final action.",x
All in favor of the passage of the bill will vote aye when the name is called.,x
Those opposed will vote no.,x
Will the clerk please take the roll?,x
Mr Sharlin: Aye.,x
Mr Coghill: Aye.,x
Ms Gross: Aye.,x
Mr Mosley: Aye.,x
Mrs Strasburger: Aye.,x
Mrs Warwick: Aye.,x
Mr Wilson: Aye.,x
"Mr LaValle-President: Aye, Eight ayes.",x
The bill has received a legal card.,x
number of votes.,x
"It is passed, finally.",x
That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure.,x
"Thank you, Mr President.",x
"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.",x
"Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.",x
"98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof.",x
You have heard the reading inside the bill.,x
Is there any discussion?,x
Seeing none.,x
the bill is now ready for final action.,x
All in favor to pass through the bill?,x
vote aye.,x
when her name is called.,x
Those opposed will vote no.,x
Will the clerk please take the roll?,x
Mr Sharland: Aye.,x
Mr Coghill: Aye.,x
Ms Gross: Aye.,x
Mr Mosley: Aye.,x
Mrs Strasburger: Aye.,x
Mrs Warwick: Aye.,x
Mr Wilson: Aye.,x
"Mr LaValle-President: Aye, Eight ayes.",x
"The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology.",x
"Thank you, Mr President.",x
"Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.",x
Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc.,x
"for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year.",x
You have heard the reading and title of the bill.,x
Is there any discussion?,x
"If none, the bill is now ready for final action.",x
All in favor to pass the bill?,x
vote aye When her name is called.,x
those opposed will vote no.,x
Will the clerk please take the roll?,x
"Mr Sharlin, Aye Mr Coghill.",x
Aye Ms Gross.,x
Aye Mr Mosley.,x
Aye Ms Strasburger.,x
Aye Mrs Warwick.,x
"Aye Mr Wilson, Aye Mr LaValle.",x
"President, Aye Eight ayes.",x
"The bill, having received a leading part of the votes, is passed.",x
"finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs.",x
"Thank you, Mr President.",x
"Thank you, Councilman Kari Mosley.",x
"presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country.",x
This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.,x
"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services.",x
This expenditure is associated with a correction to the Pay As Credo contract of 16.,x
36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.,x
"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",x
"And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",x
And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.,x
You've heard the reading and it's out of the bill.,x
Is there any discussion?,x
"Seeing none, the bill is now ready for final action.",x
All in favor of the passage of the bill vote: aye.,x
Rename is called.,x
Those opposed will vote no.,x
Will the clerk please take the roll?,x
"Mr Sharlin, Aye Mr Coghill.",x
Aye Ms Gross.,x
Aye Mr Mosley.,x
Aye Mrs Strasburger.,x
"Aye Ms Warwick, Aye Mr Wilson.",x
"Aye Mr LaValle-President, Aye Eight ayes.",x
The bill has received the required number of votes.,x
It is passed.,x
"finally, That takes us to motions and resolutions.",x
Is there anything for members?,x
"Councilwoman Gross, and I saw Councilman Mosley as well.",x
"I'm sorry, Councilwoman Strasburger.",x
"Thank you, It's been a long morning.",x
I'm sorry.,x
I understand It's been a long morning so far.,x
I would like to make a motion to call for a post agenda on the Oakland bid.,x
O bid.,x
"Okay, Is there a second Second?",x
All in favor?,x
"say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.",x
"Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey.",x
"And you know, kudos to Dr Anthony Williams for the great job he does running the school.",x
"And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career.",x
I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.,x
"as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them.",x
"Okay, So kudos, All right, We've had two championships in two weeks.",x
Congratulations.,x
Anything else for members If not?,x
"we did read, receive and file the annual report on the affordable housing bond that we took out.",x
"That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed.",x
so someone would offer up a motion to hold a post agenda on the affordable housing bond.,x
so moved.,x
"second, all those in favor say aye, aye, can you oppose?",x
we'll work to get that scheduled as well.,x
that takes us to meeting announcements this afternoon at one o'clock.,x
council holding executive section on bill 1687 as it relates to ongoing litigation matters.,x
"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority.",x
"tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am.",x
speaker registration will close at 9 am wednesday morning.,x
"to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline.",x
you may also call the clerk's office at 412-255-2100.,x
"and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh.",x
"thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process.",x
"everyone- no, yeah, everyone's- councilman's first- was absent.",x
"so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting.",x
so move second.,x
"all those in favor say aye, aye, we are adjourned.",x
"okay, we'll note that as the committee is adjourned, we are deferring to an.",x
following a motion by the senator chairs the everyday vote.,x
infection prevention policy up in sürplayingiam.,x
Thank you.,x
