sentence,classification
"This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",x
Local protests in US streets are safety negative.,x
Local pressure to get laws changed.,x
City council meetings are safety positive.,x
I appreciate what the SEIU has done and is doing on that point.,x
I am not the only one.,x
The president.,x
"This is European Intelligence Month, which I invented in 2010.",x
Localization is the primary function.,x
Globalization is subordinate to that.,x
Local government is primary.,x
This has been my position since 2010.,x
Consider H Wellman publication in 2024.,x
"The national government decentralization via the office of US president offers an opportunity for local government re-centralization, including in the city of Pittsburgh and across the United States.",x
"I think we can learn from Deutschland on this via the Grundesgesetz, the basic law from 1949.",x
I am opposed completely to any form of Nazism or neo-Nazism.,x
"by the way, Article 28 ensures and enshrines local government autonomy.",x
"in Germany, Locality Frankfurt is an extremely good example.",x
"I am not the only one, I am the only one.",x
The United States is the only one.,x
It is a good example.,x
"It has been listed with Pittsburgh as among the most livable cities in the world, for Frankfurt and for Pittsburgh.",x
"for the United States, Frankfurt has 770,000 people.",x
It is at the center of the EU.,x
There are a number of hubs.,x
"One is financial, is sometimes called bank bank fort.",x
"The European central bank is there, Deutsche Bank is there.",x
There is a hub for intelligence.,x
There is a hub for private sector.,x
"There is a hub for the European Central Bank Communications, DE CXI, which is the interstate exchange point for Europe.",x
The AI Center for Germany is there.,x
"Supercomputer Center, Airline Lufthansa has its headquarters there.",x
"What Frankfurt is doing, Pittsburgh can do.",x
"I think we should become more of a financial center than we are, And Frankfurt is also home to the local public sector alliance across Germany.",x
Thank you very much.,x
Our next registered speaker is Azasha Mennefield.,x
"Is Azasha Mennefield, with us Not seeing them online?",x
That exhausts our list of registered speakers.,x
We will now take comments from those in the chamber.,x
Is there anyone?,x
Anyone in the chambers that would like to speak?,x
"Please come to the podium, State your name and neighborhood for the record, You will have three minutes to speak.",x
"Good morning, My name is Yvonne F Brown.",x
I live at 715 Mercer Street.,x
"That's the high rise, That's the top of Bedford.",x
"I have been coming down for a couple years complaining about us, the seniors, that are being beaten.",x
We're the ham.,x
"I have been in the house all summer, beaten with sticks with a woman, the bad actor Rashida McKinley.",x
that's not allowed in the building.,x
"Now, April 1st, I heard her out on the third floor- That's where I live.",x
"She's hollering, telling Freddie Day: 304, let me in, let me in.",x
"He's saying no, no, She's hollering, you won't let me in.",x
We have citizens in the building that are afraid of her.,x
one woman she beat down and i know she let her and i said you let her in.,x
she said i.,x
she says she pushed me.,x
i pushed her back.,x
i said: but you let her in?,x
do you understand that this woman has had operations?,x
"she has stitches, she had staples.",x
"recita was in 7-eleven- this is the apartment- and she was getting ready to beat that woman who had all these stitches and the owner said: no, you're not going to fight her in here.",x
i've explained that she's chased me around.,x
when i went to the manager and said that i'm afraid.,x
and she said: don't say that.,x
and i said she's threatening me.,x
"she says, oh, she don't talk to me like that.",x
put her big breasts up in the air.,x
she don't talk to me like that.,x
"i left sad, confused and afraid for my life.",x
"she also went in and grabbed the manager by her neck and so i said to the manager: when i told you i was afraid, and that says: when you put your big breasts.",x
"she says, oh, she didn't.",x
"i said: well, why did you throw her down?",x
why were you rolling on the floor?,x
she's screaming: get her off of me.,x
"the manager says: i'm not hurt, i didn't hit her, i'm just holding her down.",x
i'm explaining to you what we're living through.,x
"we live with a woman who says: as long as my mother lives in this building, i'm coming.",x
"the police said that it's arbor and our med, straight, that's run, that's letting the ball go.",x
"he says police and the magistrate fatigue is supposed to be in her hands, or someone says they're actually kin to each other.",x
"i don't know whether it is or not, but you can check and see, because he should have recruits himself.",x
"he let this woman back in the building, knowing that her daughter has beaten up people.",x
now the mother came and was threatening me.,x
i said to her she said you're saying something.,x
i said i run from that thing.,x
that's what i call her a thing.,x
she's supposed to her and her sister's supposed to have killed the woman.,x
"i, i'm old, i don't want to be beaten up, walking around crippled because of a woman that's not allowed in the building and you won't do nothing about it.",x
"thank you, miss brown.",x
"next speaker, please.",x
good morning.,x
my name is pete schmidt.,x
"mexican war streets, north side 15212.",x
"i am also the western pa district leader for seiu, local 32.",x
thank you.,x
"i just want to formally thank our council members for sponsoring and moving forward with the introduction of the expansion of the paid sick days: council member warwick, council member mosley, council member coghill, council member charlin and obviously president labelle, who's not here today, and also council members wilson and gross.",x
i just want to formally go on record and thank you and we appreciate your support.,x
thank you very much.,x
good morning.,x
i wish to address the council on the topic of homelessness and similar activities in the pittsburgh area.,x
"my name is jacob pool, formerly zoltan jacob, and i have several names because american organizations were collecting children in the 80s and 90s, next to the civilian collapse, next to ukraine and next to serbia in the 80s.",x
"i see children cycle into children's camps, changing their names and altering identities and bringing us to america thousands of kids, one by one, and that's my story.",x
"so when i see all those tents all over downtown pittsburgh and along the river in pittsburgh, that's what i see.",x
i see children abducted by organizations who got money for every kid.,x
"child slave trade would change names and records to here and once they turned 18, people stopped receiving money for money for them and if they refused to take slave labor jobs which they were trying to be forced into, they became homeless.",x
"because they have no families, they have no name, they have nothing.",x
"it's a Nazi concentration camp, it's Nazi activity.",x
I have scars on my body to subdue me when I was 12 years old because I said European police said this is criminal activity.,x
"and I have scars on my body because of that, because people didn't want me walking around in high school in Ligonier, Pennsylvania saying there was mass calculations from Ukraine and from Serbia during the Soviet Union collapse to the area.",x
"so the surgical scar in my head, in my body, my back, and I have no records for them to silence me when I was 12 years old.",x
so this is real life and those homeless people all over Pittsburgh.,x
I bet you half of them have the same story as me.,x
"they just don't know it because they went through the same process when they were three years old, four years old, five years years old, eight years old, nine years old.",x
"The only way I know is because I was in European police custody when I was 12, 11, 12 years old.",x
They told me this.,x
They said they showed me around and took me to apartment complexes where women were held captive with tortured ladies and tortured people.,x
"children were taken from, put into American camps, changed their names and brought us to America All the guys that was helping us.",x
Now I'm alone.,x
"I have no family, no name, nowhere to go, struggling, and I'm no different from the thousands of homeless people that's surrounding the Pittsburgh area And that's their story: Secret surgical procedures to silence us, to change who we are, change our names.",x
"I have and you can Google me, you can ask, look at police records created around me and everything, Medical records to create this Nazi concentration camp I live in.",x
"My emails are blocked, my phone's blocked, social media blocked.",x
"I have no friends, no human contact, no family, year after year, while I'm constantly being targeted by slave labor sites operating in the Pittsburgh area trying to take me into their forced labor camps.",x
"Thank you, Thank you Next speaker, please.",x
"Hi, I'm Bernadette from Beachview.",x
"11 months ago, Pennsylvania House passes social media rules aimed at kids, teens, kids and teens.",x
"This bill will not solve all problems with social media, but what it does do is give parents a tool to help prevent bullying and other problems associated with these platforms, Representative Brian Monroe of Bucks County said in a statement.",x
"the bill would also require you know prior social media platforms to allow users to report conduct such as threats or bullying, as well as publicize a policy to how they will respond to these reports.",x
Monroe cited an ongoing negative impact on our youth's mental health from content found on social media and how it helps drive an increase of anxiety and depression in teens.,x
"according to the PennLivecom report, Some states- some states are enacting legislation to regulate social media and parents may request removal of their child's photos.",x
"A Brookline Facebook user, who is a local business owner, posted an obvious picture that had a child cornered to a wall for F-bombing.",x
That's all F-bombing.,x
"I researched the family, The child is 12.",x
Then several more posts about the little girl after they turned off comments.,x
I would like to see Pittsburgh a safe city of zero bullying of our kids.,x
"a database that if adults see something, they can upload instead of bullying kids on social media.",x
"Also in that database, a way to share the adults who are bullying.",x
The de-escalation trainings are outstanding.,x
I went to the one in Sheridan.,x
We need to have them neighborhood by neighborhood on an ongoing basis.,x
I once was a teen picture sharer on Facebook.,x
I was on Facebook.,x
I was on Facebook.,x
"I was in a group of kids who I thought were committing crimes, until one of my old foster girls, now an adult, said: mama bee, you don't know what's happening to them.",x
And she was right.,x
We need to make Pittsburgh a safe city for our youth.,x
We don't know the background of these kids And F-bombing.,x
really go to the United Kingdom.,x
They think it's cute.,x
Have a good day.,x
Thank you very much.,x
Are there any further speakers?,x
Any further speakers?,x
"There being no further speakers, we will now move on to the presentation of papers For the first committee of the day.",x
Councilperson Sharland Chair of Human Resources.,x
"Good morning, Madam President.",x
I was going to ask.,x
That's what I was going to ask.,x
Councilperson Sharland presents Bill Number 1730.,x
"Thank you, Bill Number 1730.",x
"bill number 1739, Resolution 1739 ordinance amending the Pittsburgh Code of Ordinances, Title V- Traffic.",x
"Article VII, Parking, Chapter 549, residential parking permit program to clarify the regulations for posting of signage.",x
And.,x
"Bill Number 1739 resolution amending resolution 98 of 2017 providing for the implementation of a residential permit parking program, area KK in the Southside Flats to expand the streets pursuant to Pittsburgh City Code, Chapter 549.",x
"Councilman Coghill, Chair of Public Safety and Wellness.",x
Can I waive Rule 8 or motion to waive Rule 8 on those?,x
"Motion to waive Rule 8 on On both bills, On both bills.",x
"Second, Is there a second?",x
"All those in favor of waiving the Rules of Counsel Aye, Aye Rules will be waived so that these Bill 1738 and 1739 appears on tomorrow's Standing Committee's agenda.",x
"Thank you, Thank you.",x
Thank you.,x
"Thank you very much, Councilman Coghill.",x
"No new papers, Madam Chair.",x
"Thank you very much, Councilwoman Gross.",x
Councilman Mosley.,x
"for Councilwoman Gross: No, I'm sorry.",x
"yes, I'm sorry.",x
Can you hear me?,x
We can hear you now.,x
"Oh, I apologize.",x
"No papers, Madam President.",x
"Thank you very much, Councilman Mosley.",x
Chair of Intergovernmental and Educational Affairs Committee.,x
"Thank you, Madam President.",x
"Agenda Achieved Agenda, Agenda 3 of 2.",x
"Mississauga, at the National Tourism Summit in 2009, was recognized as a State of the Land in 2015.",x
"The Board and the Council were recognized on August 19, 2014.",x
"Councilman Coghill- Yes, Councilman Coghill- Yes.",x
"Councilman Coghill, chair of intergovernmental and educational affairs committee.",x
"thank you, madam president.",x
"councilman Mosley presents bill number 1727 resolution authorizing the Pittsburgh land bank to acquire all the city's right, title and interests, if any, in into the publicly owned property in the 30th Ward of the city of Pittsburgh, designated in the deed registry office of Allegheny County as block 33 K, lot 128, 219 Reifert Street.",x
"council, district number three, at no cost to the city.",x
"and councilwoman Kale Smith, chair of recreation, youth and senior services committee.",x
councilman Mosley.,x
for a councilwoman Kale Smith: none new papers.,x
"madam president, thank you very much.",x
and my committee finance and law.,x
can we have council person Warwick for my committee?,x
"council person Strasburger presents bill number 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with Fragman del Rey, Burnson and lowly LLP in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters you.",x
"next we have councilwoman Barb Warwick, chair of public works and infrastructure committee.",x
"thank you, councilwoman Warwick.",x
"presents bill number 1729 resolution authorizing the mayor and the director of the department of mobility and infrastructure, on behalf of the city of Pittsburgh, to enter into an ownership and maintenance agreement with Albano LP for six bus shelters to be constructed along Second Avenue and Blair Street to correct building and maintenance of the Elevable käyt pani consists of a window, architecture scrapers, an Avenue and Blair Street in a Hazelwood neighborhood at no cost to the city.",x
"and we'll move on to councilman Wilson, chair of land use and economic development committee, because person Warwick, no new papers.",x
thank you very much.,x
"and for council president Lavelle, we have four appointments and we will need a motion to interview or approve once they are read.",x
"council president Lavelle presents bill number 1730 resolution appointing and Marie Allison as a member of the LGBTQIA plus Commission, term to expire April 1st 2029.",x
"bill 1731 resolution appointing Elliott Williams as a member of the shade tree Commission, term to expire April 1st 2029.",x
and.,x
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS Commission per title one, administrative commission.",x
and.,x
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS commission per title one, administrative article nine boards, commissions and authorities.",x
chapter 179 C: establishment of the Pittsburgh HIV and AIDS Commission- 179 co2 one in 179 co2 two of the Pittsburgh City Code of Ordinances.,x
bill number 1733 resolution appointing Clarice Jordan to the Pittsburgh HIV AIDS Commission.,x
"per title one: administrative article 9: boards, commissions and authorities.",x
chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative.,x
"article 9: boards, commissions and authorities.",x
chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative article 9 boards.,x
commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances.,x
commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances.,x
we need a motion to interview or approve.,x
"second: all those in favor, all those in favor of approving the motion to approve our nominees for the various commissions, please say aye, aye, aye, aye.",x
"we will now move on to two communications: bill number 1734, communication from Jake Paul act, director of the Office of Management and Budget, submitting the City Council attached status update from the grants office for the week ended April 11th 2025.",x
"and bill number 1735, communication from Felicity Williams, deputy chief of staff, submitting the equal opportunity review Commission quarterly report for the period ending March 31st 2025.",x
"we need a motion to read, receive and file.",x
so move second: all those in favor.,x
"aye, motion passes.",x
"and now we have one piece of sponsored legislation from council president Lavelle, in bill number 1736, ordinance amending the Pittsburgh code, title 6, conduct, article 1, regulated rights and actions, chapter 626, paid sick days Act, section 6 to 6: 0, 3, accrual of sixth time so as to change the rate at which employees can impute, accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",x
thank you very much.,x
that now moves us on to unfinished business.,x
"we have two appointments: bill number two, three, two, four, nine, eighty six resolution reappointing Afton Giles as a member of the clean Pittsburgh Commission, term to expire September 1st 2028.",x
and bill number 2025.,x
"1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors, term to expire December 31st 2029.",x
we need a motion to approve.,x
motion to approve.,x
"second, second, second discussion.",x
"all those in favor, please indicate by saying aye, motion passes.",x
is there any other unfinished business before council?,x
"seeing none, we will now move on to reports of committees for final action.",x
we have the Finance and Law Committee.,x
"councilwoman Kale Smith, can you please submit my legislation for final action.",x
"thank you, thank you.",x
council person Strassburger.,x
presents bill number 1724.,x
reported a Committee on Finance and Law for April 9th 2025 with an affirmative recommendation.,x
"bill 1687 resolution authorizing the issuance of a warrant in favor of the County of Allegheny in an amount not to exceed thirteen thousand six hundred and forty seven dollars over one year, in full and final settlement of a claim for damage to the glycol line sidewalk heating system, the allegheny county courthouse by domey traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 20th, december 3rd 2024.",x
you have heard the reading and the title of the bill.,x
is there any discussion on the bill?,x
"seeing none, the bill is now ready for final action.",x
all in favor of the passage of the bill will vote aye when their name is called.,x
those opposed will vote no.,x
"will the clerk please call the roll mr charlotte, aye.",x
mr coghill- aye.,x
ms gross: aye.,x
mr mosley: aye.,x
mrs kail smith.,x
"mrs warwick: aye, mr strasburger, chair: aye.",x
"seven eyes, zero nose.",x
"the bill, having received the legally required number of votes, is passed finally.",x
council person barbara warwick.,x
presents the committee on public works and infrastructure.,x
"thank you, madam president.",x
director of the Office of Management and Budget to apply for a grant from the Pennsylvania Department of Economic Development's multimodal transportation fund for the Penn Avenue lighting project.,x
"the grant proposal includes an ask of four hundred sixty one thousand eight hundred and fifty six dollars for this stated purpose, to accept the grant, reduce the grant amount and authorize necessary expenditures.",x
"and bill 1690 resolution amending resolution 133 of 2024, entitled: resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the city of Pittsburgh and Paschak plus MTR, for the professional design services for the Fort Pitt Park phase one improvements at a cost not to exceed three hundred thousand dollars, by increasing the total cost by one hundred fifteen thousand one hundred and seventy dollars for a new total city cost not to exceed four hundred fifteen thousand one hundred hundred and fifty six dollars for the construction of the park phase one.",x
cost not to exceed four hundred and seventy dollars for the construction of the park phase one.,x
you have heard the reading in the title of the bill.,x
is there any discussion on the bill?,x
bills are now ready for final action.,x
all in favor of the passage of the bill will vote aye when their name is called.,x
those opposed will vote no.,x
will the clerk please call the roll?,x
mr Sharland?,x
"aye, mr Coghill.",x
hi miss gross.,x
mr Mosley.,x
hi mrs Kale Smith.,x
"mrs Warwick, hi mrs Strassberger.",x
"president, aye seven, ayes, zero, noes.",x
"the bill, having received the legally required number of votes, is passed finally.",x
now move on to councilman Kihari Mosley.,x
committee on intergovernmental and educational affairs.,x
"Thank You, madam president.",x
"councilman Mosley presents bill number 1726, reported a committee on intergovernmental and educational affairs for April 9th 2025, with an affirmative recommendation.",x
bill 1681 resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed fifty two thousand nine hundred sixty two dollars and twenty four cent.,x
bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utilities Commission in the amount of seventy two thousand five hundred dollars for delinquent debts owed by the city of Pittsburgh for 811 damaged prevention.,x
calls.,x
"bill 1683 resolution appealing resolution 366 of 2019, effective June 14th 2019, authorizing the urban redevelopment authority of Pittsburgh to acquire all the city's right, title and interests, if any, and into the publicly owned property in a 15th Ward city of Pittsburgh designated in the deed registry office of Allegheny County as block 56 B, slide 56 345, council district number five, at no cost to the city.",x
"bill 1684 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 10 J, lots 259 and 260, fifth Ward city of Pittsburgh, Aaron Street, council district number six, at no cost to the city.",x
"bill 1685 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and Island Avenue Holdings LLC for the sale of block 21 D, lot 42 a in the 27th Ward city of Pittsburgh, Island Avenue, council district number two, at no cost to the city.",x
bill 1686 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 83 a.,x
"for the cellar block 83 a, the cellar block 83 at number six i lady starring city on Pittsburgh.",x
"look unique salary fee if n ms that will lateral and will be suppliedtrade pays by by all lease to the active parent and prices lily after we e five anchors and overhead wires upon city-owned property collectively, the DLC assets to manage vegetation on a certain property in the vicinity of the DLC assets and to perform landscaping in the vicinity of the DLC assets at no cost to the city.",x
You have heard the reading and the title of the bills.,x
Is there any discussion on the bills?,x
"Madam President, Yes, I have an amendment that I'm hoping I see being passed around.",x
We have it in front of us.,x
"Councilwoman, you are muted.",x
"If you're speaking, we cannot hear you.",x
"Yeah, my phone is cutting out.",x
I apologize.,x
This is the amendment we have in front of us.,x
It's just a request by PWSA.,x
It's a request by the PWSA clarifying who's responsible for landscaping at the pump house in Highland Park.,x
So I'm going to motion to amend.,x
Do we have a second Second?,x
All those in favor of the amendment before us please indicate by saying aye.,x
"Aye, Bill 1723 is amended.",x
Is there any further discussion from members?,x
The bills are now ready.,x
Seeing none.,x
the bills are now ready for final action.,x
All in favor of the passable.,x
"Aye, The passage of the bills will vote aye when their name is called.",x
Those opposed will vote no.,x
Will the clerk please call the roll Mr Sharland.,x
"Aye, Mr Coghill.",x
"Aye, Ms Gross.",x
"Aye, Mr Mosley.",x
"Aye, Mrs Kale-Smith.",x
"Aye, Mrs Warwick.",x
"Aye, Mrs Strasburger-President: Aye, Seven ayes, zero, noes, The bills having received the legally required number of votes are passed.",x
"finally, Any discussion.",x
"So, as the council members have said, we will now move on to the motion and resolution.",x
We will now move on to the motion and resolution.,x
We will now move on to the motion and resolution.,x
So anything from members?,x
"Yes, Council Member Warwick.",x
"Yes, Council Member Warwick.",x
"I just wanted to make a quick comment, That's OK.",x
"Yeah, So I just you know, with regard to the attack on Governor Shapiro's House and on his family over the weekend: Obviously horrific attack and terrifying.",x
I can't imagine how stressful that is for the governor and his wife and their kids.,x
"But more than that, I just wanted to note the fact that our president referred to the attacker as just some whack job, as if this was some random situation.",x
and it wasn't and it didn't have anything to do with the fact that this is a Jewish governor and that the attack was on the first night of Passover.,x
"to sort of wave it off as just some random situation, while at the same time, you know, actively disappearing from the picture Legal residents in the United States to foreign countries under the claim that they are terrorists, with no evidence whatsoever, totally illegal and totally unconstitutional.",x
"It's just, it's very scary, And I just wanted to mention it because I know that you know we're all here at city council, we're going about our business, we're doing you know we're going through an election, et cetera, et cetera.",x
"you know what I mean And I just wanted to mention it because I know that you know we're all here at We're going through an election, et cetera, et cetera, and everyone is doing that.",x
"right, Everyone is just going about their day and going to work and doing the things that we have to do, but people are feeling it and people and it's frightening and I just want to acknowledge that, acknowledge that that is, you know, that sentiment here in Pittsburgh and all across the country, that you know that we are aware here at City Council and that we appreciate the way that everyone is feeling, and certainly you know the way that our Jewish community members are feeling, given this attack on Sunday.",x
So that's all from me.,x
Thank you.,x
"Thank you, Council Member.",x
Is there anything further from members?,x
"Yes, Council Member, Strassberger, Council.",x
"thank you, Councilman Wilson, followed by Councilwoman Kale-Smith, Thank you.",x
"If I may, I'd like to register aye votes for the votes that I missed.",x
"So noted, Thank you.",x
"Thank you, Councilwoman Kale-Smith.",x
"Thank you, Thank you.",x
"I think this is just, I might say, half a bell on this, a lot.",x
"but there's just one thing that's interesting, which is obviously participation- and having a conversation about this is really packed with- is not relying on Generally Support all the time, But we again, I guess, just for the.",x
I'm just wondering if we can.,x
"Council Member Warren, Was there a school day that we didn't get an existing?",x
"No, not, we didn't.",x
"people help and trying to make sure that, and there's people here locally.",x
"I mean, I know that on the national level there's a lot going on and I leave that to our congresswoman.",x
"I know that she's, you know, doing what she can on that level.",x
"but on this level, in the city of Pittsburgh, there's people missing, there's people going missing.",x
"there's things that are happening in the city of Pittsburgh on a daily basis that needs addressed by this council and by this administration, because otherwise we're focusing on things we weren't elected to do.",x
"but we can do both, but our focus should be predominantly on what's happening in the city of Pittsburgh.",x
"that's what we're elected to do and for me, I really I see kids missing all the time in the city of Pittsburgh.",x
every week there's somebody going that you see a post that somebody has gone missing and to try to find that person.,x
"and, honestly, there's a lot to be said about what's happening in the homes of these, of our kids, and I think the more we just ignore this and just act like this is normal, the the worse, it's becoming, not better, and I think that we need to address what's happening here in Pittsburgh in terms of our young people leaving homes, missing, homes going missing.",x
there's just a lot.,x
"I mean, it's just so much.",x
"it's it's depressing, it really is.",x
"it's depressing- of what's happening, you know, and in our neighborhoods and each and every day and in our, the homes of kids across the city of Pittsburgh, and I wish we would do more partnering with, you know, DHS and CYF and others to get resources into and and and even our, our rec centers.",x
"they should have those resources available where kids are not just in schools but places where kids can get them after school hours or a place where they can reach, you know, resources more comfortably, and I just wish we would do more with that.",x
"and I know council on work and I are talking about a couple things with schools and and doing some partnerships in the evenings and other times, but I think generally across the city of Pittsburgh it needs to be done and I'm I know in Sheridan we have there's a lot of youth crime in the community in that area- 15, 16- There's a lot for kids to do and I tell people this all the time: if having something to do was Meant that there would be safety and kids would be safe, Homewood and Sheridan would be some of the safest neighborhoods because they have some of the best Resources.",x
"and Sheridan, they have the Jasmine- I read they have this Langley's supposed to be a community-based school Which is supposed to have programs available.",x
"They have the library, they have parks, They have people doing like hope for tomorrow and the boxing program at Langley.",x
I know there's a lot of programs in homeward because I used to partner with them and different things.,x
"But the problem is is that we set an expectation That an absence is something to do, is is it's okay to commit a crime, And what we ought to be doing is setting the bar a little bit higher for our kids, expecting a lot more for them and Trying to lead them in a better direction.",x
"And I just feel like, yes, there should be some more things for people to do.",x
"and yes, I'm eager for the Stevens school building to open.",x
"You know it has not opened and I do feel like it has been intentionally not open, delayed because it's needs so much work and And there's a.",x
I could say a lot to that and I will say a lot.,x
the conversation continues.,x
"I'll say a lot publicly every week, But what I'll say now is there's a lot of projects delayed in our district that would help kids and would do more for kids, But that's still not the overall answer.",x
"The answer is yes, give them some things, But let's also remember that we've got to set the bar high for our kids and teach them a little better like they do.",x
"in short, to your city, where it's.",x
"there's almost nothing for the kids to do down there except for Park in a ball field, But yet it has the highest, some of the highest, homeownership in the city of Pittsburgh, low crime, the kids Succeeding and doing well, and I think it's because they set the bar so high, so I just was.",x
it's when the community embraces everybody.,x
"I think it's it's coming together that we need to do a little bit all over the country, all over the city of Pittsburgh.",x
"Thank you, Thanks, councilwoman.",x
anything further from members.,x
"I think I saw council person Charlene first, followed by council and Mosley.",x
"All right, Yeah, thank you.",x
I would like to call for a motion for a.,x
"well, I'd like to call for a motion for a public hearing on our trash situation in Pittsburgh.",x
Just to make sure members know.,x
"after We did the will of counsel last week, My office has been blowing up with people with a lot of really good ideas For what we can do to fix our trash problem here throughout for the entire city, from all of your districts.",x
we've kind of become a- I Don't know a- nexus of this conversation.,x
So we'd really like to hold a public hearing.,x
We'd like it to be in the evening as an opportunity to bring people in and hear from their ideas on what we can do to Solve this trash issue here.,x
So I'd like to make that motion second.,x
"second: all those in favor Please say aye, aye, post extensions, motion passes.",x
"We will get that scheduled, Thank you.",x
"And one last thing: I did ask for a briefing on the CEO works Initiative that is in Homewood, how we can ask for other neighborhoods to apply.",x
I make sure this benefits the whole city.,x
"So that, I believe, is in the process of being scheduled right now.",x
"Thank you, Councilman Mosley.",x
"Yeah, I just wanted to echo the comments of my colleagues about Unfortunate situation that happened at the governor's mansion over the weekend.",x
I've known governor Shapiro For two decades.,x
"met him, you know, When we were much younger, when he served in the state legislature with my wife and I'm, you know, Consider him a friend.",x
I've known his family For a long time.,x
So my heart goes out to the governor First and foremost.,x
"but, like my colleagues said so eloquently earlier, this really underscores, You know, the unfortunate state of our current politics And it's so, very, so important that you know We can get to a point where you know We can agree without being disagreeable and work together on issues you know and come together because you know, I think, That you know it's not overreacting to start.",x
"you're being concerned about, you know, Our own safety as elected officials on every level of government.",x
"as you know, these heinous acts you know continue from, You know, what happened in Butler, PA, last summer To what happened at the governor's mansion this weekend.",x
"So I hope at some point we can get to a point where You know our public officials are not under attack And and and folks can't disagree with us and we can have robust Dialogue and debate, you know, in the true democratic spirit, without people resorting to violence.",x
"So again, you know, I, just you know- fear for the future and hope that you know these, these, this is an aberration and Not a trend.",x
and then I also do want to wish all those who are celebrating Passover a joyous and prosperous Passover celebration as well.,x
"Thank you, councilman.",x
anything further from members Seeing none?,x
we have a few meeting announcements.,x
"this afternoon at 1 pm, Council will hold an executive session on bill 1728 as it relates to ongoing litigation matters.",x
"tomorrow, Wednesday, April 16th, 10 am, Council will meet for their standing committees.",x
meeting Speaker speaker.,x
registration will close at 9 am.,x
Wednesday morning.,x
