sentence,classification,prev2,prev1,next1,next2
I'm going to hold this for you because we can't hear.,i,The reason is I'm there for the residents that help make changes And I want to see what the future is going to be for them.,"So I represent a lot of people on the Housing Authority, Thank you, And I want to be not just my own area, but everybody.",I'm sorry.,Do you want me to hold it?
I'm sorry.,i,"So I represent a lot of people on the Housing Authority, Thank you, And I want to be not just my own area, but everybody.",I'm going to hold this for you because we can't hear.,Do you want me to hold it?,"I can do that, You can."
Do you want me to hold it?,i,I'm going to hold this for you because we can't hear.,I'm sorry.,"I can do that, You can.","No, you can't hear me."
"I can do that, You can.",i,I'm sorry.,Do you want me to hold it?,"No, you can't hear me.",You want me to start from the beginning.
"No, you can't hear me.",i,Do you want me to hold it?,"I can do that, You can.",You want me to start from the beginning.,"Well, I think we heard you, But those listening, Those listening outside of chambers, may not have heard you."
You want me to start from the beginning.,i,"I can do that, You can.","No, you can't hear me.","Well, I think we heard you, But those listening, Those listening outside of chambers, may not have heard you.",So you don't have to start from the beginning.
"Well, I think we heard you, But those listening, Those listening outside of chambers, may not have heard you.",i,"No, you can't hear me.",You want me to start from the beginning.,So you don't have to start from the beginning.,"I would say: continue where you were, Okay."
So you don't have to start from the beginning.,i,You want me to start from the beginning.,"Well, I think we heard you, But those listening, Those listening outside of chambers, may not have heard you.","I would say: continue where you were, Okay.",So a lot of people that I have talked to outside of the Housing Authority- It's very rare for people like myself to have a disability but can get around.
"I would say: continue where you were, Okay.",i,"Well, I think we heard you, But those listening, Those listening outside of chambers, may not have heard you.",So you don't have to start from the beginning.,So a lot of people that I have talked to outside of the Housing Authority- It's very rare for people like myself to have a disability but can get around.,I was involved.
So a lot of people that I have talked to outside of the Housing Authority- It's very rare for people like myself to have a disability but can get around.,i,So you don't have to start from the beginning.,"I would say: continue where you were, Okay.",I was involved.,I was involved.
I was involved.,i,"I would say: continue where you were, Okay.",So a lot of people that I have talked to outside of the Housing Authority- It's very rare for people like myself to have a disability but can get around.,I was involved.,"I was involved In a couple of organizations, like the Access Task Force for many years."
I was involved.,i,So a lot of people that I have talked to outside of the Housing Authority- It's very rare for people like myself to have a disability but can get around.,I was involved.,"I was involved In a couple of organizations, like the Access Task Force for many years.","Actually, I'm one of the founders of Access When they started the program."
"I was involved In a couple of organizations, like the Access Task Force for many years.",i,I was involved.,I was involved.,"Actually, I'm one of the founders of Access When they started the program.",the pilot program was started in 1970.
"Actually, I'm one of the founders of Access When they started the program.",i,I was involved.,"I was involved In a couple of organizations, like the Access Task Force for many years.",the pilot program was started in 1970.,"Oh, yeah, Yeah, In 1978, And then it went through to 1979, When Access is a transportation helping people with disabilities and seniors get out of their homes and do what we all want to do, Like shopping, visiting, going to school and meetings."
the pilot program was started in 1970.,i,"I was involved In a couple of organizations, like the Access Task Force for many years.","Actually, I'm one of the founders of Access When they started the program.","Oh, yeah, Yeah, In 1978, And then it went through to 1979, When Access is a transportation helping people with disabilities and seniors get out of their homes and do what we all want to do, Like shopping, visiting, going to school and meetings.",That's what Access.
"Oh, yeah, Yeah, In 1978, And then it went through to 1979, When Access is a transportation helping people with disabilities and seniors get out of their homes and do what we all want to do, Like shopping, visiting, going to school and meetings.",i,"Actually, I'm one of the founders of Access When they started the program.",the pilot program was started in 1970.,That's what Access.,"Also, I was- I still am- on the Port Authority."
That's what Access.,i,the pilot program was started in 1970.,"Oh, yeah, Yeah, In 1978, And then it went through to 1979, When Access is a transportation helping people with disabilities and seniors get out of their homes and do what we all want to do, Like shopping, visiting, going to school and meetings.","Also, I was- I still am- on the Port Authority.",I was on the bus And I was one of the ones who tested out the ramps.
"Also, I was- I still am- on the Port Authority.",i,"Oh, yeah, Yeah, In 1978, And then it went through to 1979, When Access is a transportation helping people with disabilities and seniors get out of their homes and do what we all want to do, Like shopping, visiting, going to school and meetings.",That's what Access.,I was on the bus And I was one of the ones who tested out the ramps.,"Well, at first it was the lift and then the ramps, And I told them what was what."
I was on the bus And I was one of the ones who tested out the ramps.,i,That's what Access.,"Also, I was- I still am- on the Port Authority.","Well, at first it was the lift and then the ramps, And I told them what was what.",I just want to make sure you understand.
"Well, at first it was the lift and then the ramps, And I told them what was what.",i,"Also, I was- I still am- on the Port Authority.",I was on the bus And I was one of the ones who tested out the ramps.,I just want to make sure you understand.,"I wasn't the only one that was part of these Committees, But I have helped a lot of them to understand and also reason why we should do certain things."
I just want to make sure you understand.,i,I was on the bus And I was one of the ones who tested out the ramps.,"Well, at first it was the lift and then the ramps, And I told them what was what.","I wasn't the only one that was part of these Committees, But I have helped a lot of them to understand and also reason why we should do certain things.","I don't demand, I don't argue, I just try to reason with everybody And get my point across."
"I wasn't the only one that was part of these Committees, But I have helped a lot of them to understand and also reason why we should do certain things.",i,"Well, at first it was the lift and then the ramps, And I told them what was what.",I just want to make sure you understand.,"I don't demand, I don't argue, I just try to reason with everybody And get my point across.",So any questions of me.
"I don't demand, I don't argue, I just try to reason with everybody And get my point across.",i,I just want to make sure you understand.,"I wasn't the only one that was part of these Committees, But I have helped a lot of them to understand and also reason why we should do certain things.",So any questions of me.,"Thank you, I will turn it over to members if they have questions for either of our guests."
So any questions of me.,b,"I wasn't the only one that was part of these Committees, But I have helped a lot of them to understand and also reason why we should do certain things.","I don't demand, I don't argue, I just try to reason with everybody And get my point across.","Thank you, I will turn it over to members if they have questions for either of our guests.",Councilwoman Wood.
"Thank you, I will turn it over to members if they have questions for either of our guests.",b,"I don't demand, I don't argue, I just try to reason with everybody And get my point across.",So any questions of me.,Councilwoman Wood.,"Sure, Yeah, All right."
Councilwoman Wood.,b,So any questions of me.,"Thank you, I will turn it over to members if they have questions for either of our guests.","Sure, Yeah, All right.","So, Afton, I'll start with you."
"Sure, Yeah, All right.",b,"Thank you, I will turn it over to members if they have questions for either of our guests.",Councilwoman Wood.,"So, Afton, I'll start with you.",So we have actually been talking a lot about litter.
"So, Afton, I'll start with you.",b,Councilwoman Wood.,"Sure, Yeah, All right.",So we have actually been talking a lot about litter.,"It's Something that is a big problem in the city of Pittsburgh And I'm curious- Well, to be honest, I'm actually Curious kind of- about the role of the Clean Pittsburgh Commission."
So we have actually been talking a lot about litter.,b,"Sure, Yeah, All right.","So, Afton, I'll start with you.","It's Something that is a big problem in the city of Pittsburgh And I'm curious- Well, to be honest, I'm actually Curious kind of- about the role of the Clean Pittsburgh Commission.","It's not a commission that I am actually super familiar with, Although I am going to be on your next meeting talking about some Trying to get some funding for in school programming with PPS."
"It's Something that is a big problem in the city of Pittsburgh And I'm curious- Well, to be honest, I'm actually Curious kind of- about the role of the Clean Pittsburgh Commission.",b,"So, Afton, I'll start with you.",So we have actually been talking a lot about litter.,"It's not a commission that I am actually super familiar with, Although I am going to be on your next meeting talking about some Trying to get some funding for in school programming with PPS.","But Yeah, So I'd be, I'd be curious to understand, To sort of hear your thoughts on what?"
"It's not a commission that I am actually super familiar with, Although I am going to be on your next meeting talking about some Trying to get some funding for in school programming with PPS.",i,So we have actually been talking a lot about litter.,"It's Something that is a big problem in the city of Pittsburgh And I'm curious- Well, to be honest, I'm actually Curious kind of- about the role of the Clean Pittsburgh Commission.","But Yeah, So I'd be, I'd be curious to understand, To sort of hear your thoughts on what?","Well, a few things, One sort of the educational side."
"But Yeah, So I'd be, I'd be curious to understand, To sort of hear your thoughts on what?",i,"It's Something that is a big problem in the city of Pittsburgh And I'm curious- Well, to be honest, I'm actually Curious kind of- about the role of the Clean Pittsburgh Commission.","It's not a commission that I am actually super familiar with, Although I am going to be on your next meeting talking about some Trying to get some funding for in school programming with PPS.","Well, a few things, One sort of the educational side.","Right, I know that we- You know today I'm Allegheny Cleanways- is going to be in Greenfield School talking to the sixth graders."
"Well, a few things, One sort of the educational side.",b,"It's not a commission that I am actually super familiar with, Although I am going to be on your next meeting talking about some Trying to get some funding for in school programming with PPS.","But Yeah, So I'd be, I'd be curious to understand, To sort of hear your thoughts on what?","Right, I know that we- You know today I'm Allegheny Cleanways- is going to be in Greenfield School talking to the sixth graders.","You know how can we can do more of that sort of that That You know, Starting at the young age, education Efforts Around the city and then also Some of these issues that were that we talked about yesterday at Council."
"Right, I know that we- You know today I'm Allegheny Cleanways- is going to be in Greenfield School talking to the sixth graders.",i,"But Yeah, So I'd be, I'd be curious to understand, To sort of hear your thoughts on what?","Well, a few things, One sort of the educational side.","You know how can we can do more of that sort of that That You know, Starting at the young age, education Efforts Around the city and then also Some of these issues that were that we talked about yesterday at Council.","you know Penn dot not, you know not keeping their roads clean, Our issues with you know, legal issues with You know, illegal dumping and and dealing with properties that are not you know, where folks are just leaving their properties full of garbage and just Anyway, it's kind of open ended."
"You know how can we can do more of that sort of that That You know, Starting at the young age, education Efforts Around the city and then also Some of these issues that were that we talked about yesterday at Council.",i,"Well, a few things, One sort of the educational side.","Right, I know that we- You know today I'm Allegheny Cleanways- is going to be in Greenfield School talking to the sixth graders.","you know Penn dot not, you know not keeping their roads clean, Our issues with you know, legal issues with You know, illegal dumping and and dealing with properties that are not you know, where folks are just leaving their properties full of garbage and just Anyway, it's kind of open ended.","but Yeah, So I'm curious to hear what the Commission can help address those things or advise us on how to how to help address those things."
"you know Penn dot not, you know not keeping their roads clean, Our issues with you know, legal issues with You know, illegal dumping and and dealing with properties that are not you know, where folks are just leaving their properties full of garbage and just Anyway, it's kind of open ended.",i,"Right, I know that we- You know today I'm Allegheny Cleanways- is going to be in Greenfield School talking to the sixth graders.","You know how can we can do more of that sort of that That You know, Starting at the young age, education Efforts Around the city and then also Some of these issues that were that we talked about yesterday at Council.","but Yeah, So I'm curious to hear what the Commission can help address those things or advise us on how to how to help address those things.","So the Commission's been around for a while, because before there was a Commission there really wasn't."
"but Yeah, So I'm curious to hear what the Commission can help address those things or advise us on how to how to help address those things.",i,"You know how can we can do more of that sort of that That You know, Starting at the young age, education Efforts Around the city and then also Some of these issues that were that we talked about yesterday at Council.","you know Penn dot not, you know not keeping their roads clean, Our issues with you know, legal issues with You know, illegal dumping and and dealing with properties that are not you know, where folks are just leaving their properties full of garbage and just Anyway, it's kind of open ended.","So the Commission's been around for a while, because before there was a Commission there really wasn't.","It wasn't a ton other than, you know, a group of people that were sort of volunteering their time to talk about these issues."
"So the Commission's been around for a while, because before there was a Commission there really wasn't.",i,"you know Penn dot not, you know not keeping their roads clean, Our issues with you know, legal issues with You know, illegal dumping and and dealing with properties that are not you know, where folks are just leaving their properties full of garbage and just Anyway, it's kind of open ended.","but Yeah, So I'm curious to hear what the Commission can help address those things or advise us on how to how to help address those things.","It wasn't a ton other than, you know, a group of people that were sort of volunteering their time to talk about these issues.","So the Commission was formed because they wanted a way to elevate it beyond just a group of, you know, concerned citizens, And so we're really excited about that, And so I think that the Commission has been really involved in that."
"It wasn't a ton other than, you know, a group of people that were sort of volunteering their time to talk about these issues.",i,"but Yeah, So I'm curious to hear what the Commission can help address those things or advise us on how to how to help address those things.","So the Commission's been around for a while, because before there was a Commission there really wasn't.","So the Commission was formed because they wanted a way to elevate it beyond just a group of, you know, concerned citizens, And so we're really excited about that, And so I think that the Commission has been really involved in that.",So I think that the Commission is really committed to making it something more official.
"So the Commission was formed because they wanted a way to elevate it beyond just a group of, you know, concerned citizens, And so we're really excited about that, And so I think that the Commission has been really involved in that.",i,"So the Commission's been around for a while, because before there was a Commission there really wasn't.","It wasn't a ton other than, you know, a group of people that were sort of volunteering their time to talk about these issues.",So I think that the Commission is really committed to making it something more official.,Over the years it has has transitioned.
So I think that the Commission is really committed to making it something more official.,i,"It wasn't a ton other than, you know, a group of people that were sort of volunteering their time to talk about these issues.","So the Commission was formed because they wanted a way to elevate it beyond just a group of, you know, concerned citizens, And so we're really excited about that, And so I think that the Commission has been really involved in that.",Over the years it has has transitioned.,at first we had no budget within the last Maybe ten years.
Over the years it has has transitioned.,i,"So the Commission was formed because they wanted a way to elevate it beyond just a group of, you know, concerned citizens, And so we're really excited about that, And so I think that the Commission has been really involved in that.",So I think that the Commission is really committed to making it something more official.,at first we had no budget within the last Maybe ten years.,"We finally do have a budget, An official budget, And a lot of that Is is dependent on In terms of how those funds are spent."
at first we had no budget within the last Maybe ten years.,i,So I think that the Commission is really committed to making it something more official.,Over the years it has has transitioned.,"We finally do have a budget, An official budget, And a lot of that Is is dependent on In terms of how those funds are spent.",It's dependent on a lot of different programs.
"We finally do have a budget, An official budget, And a lot of that Is is dependent on In terms of how those funds are spent.",i,Over the years it has has transitioned.,at first we had no budget within the last Maybe ten years.,It's dependent on a lot of different programs.,"Some, some of it is informed by Council, One of the."
It's dependent on a lot of different programs.,i,at first we had no budget within the last Maybe ten years.,"We finally do have a budget, An official budget, And a lot of that Is is dependent on In terms of how those funds are spent.","Some, some of it is informed by Council, One of the.","The other thing that we have is a community of focus where a lot of the people that serve on the Council are also members of, like Allegheny Clean Waste, PRC and some of the other other nonprofits within the city of Pittsburgh that particularly deal with waste, and they deal with waste on on a on an annual basis."
"Some, some of it is informed by Council, One of the.",i,"We finally do have a budget, An official budget, And a lot of that Is is dependent on In terms of how those funds are spent.",It's dependent on a lot of different programs.,"The other thing that we have is a community of focus where a lot of the people that serve on the Council are also members of, like Allegheny Clean Waste, PRC and some of the other other nonprofits within the city of Pittsburgh that particularly deal with waste, and they deal with waste on on a on an annual basis.","We also have, you know, a lot of the people from the city as well, from DPW, myself, from sustainability, where you know Council and members of the community, you know, let us know where some of the pockets are happening And so they."
"The other thing that we have is a community of focus where a lot of the people that serve on the Council are also members of, like Allegheny Clean Waste, PRC and some of the other other nonprofits within the city of Pittsburgh that particularly deal with waste, and they deal with waste on on a on an annual basis.",i,It's dependent on a lot of different programs.,"Some, some of it is informed by Council, One of the.","We also have, you know, a lot of the people from the city as well, from DPW, myself, from sustainability, where you know Council and members of the community, you know, let us know where some of the pockets are happening And so they.",we have a lot of different ways.
"We also have, you know, a lot of the people from the city as well, from DPW, myself, from sustainability, where you know Council and members of the community, you know, let us know where some of the pockets are happening And so they.",i,"Some, some of it is informed by Council, One of the.","The other thing that we have is a community of focus where a lot of the people that serve on the Council are also members of, like Allegheny Clean Waste, PRC and some of the other other nonprofits within the city of Pittsburgh that particularly deal with waste, and they deal with waste on on a on an annual basis.",we have a lot of different ways.,So that's what we've been doing with regards to legal dumping And some of the other litter.
we have a lot of different ways.,i,"The other thing that we have is a community of focus where a lot of the people that serve on the Council are also members of, like Allegheny Clean Waste, PRC and some of the other other nonprofits within the city of Pittsburgh that particularly deal with waste, and they deal with waste on on a on an annual basis.","We also have, you know, a lot of the people from the city as well, from DPW, myself, from sustainability, where you know Council and members of the community, you know, let us know where some of the pockets are happening And so they.",So that's what we've been doing with regards to legal dumping And some of the other litter.,So we- The committee of focus tends to travel From different communities.
So that's what we've been doing with regards to legal dumping And some of the other litter.,i,"We also have, you know, a lot of the people from the city as well, from DPW, myself, from sustainability, where you know Council and members of the community, you know, let us know where some of the pockets are happening And so they.",we have a lot of different ways.,So we- The committee of focus tends to travel From different communities.,"we've done Homewood, We've done the hill district, we've done Hazelwood."
So we- The committee of focus tends to travel From different communities.,i,we have a lot of different ways.,So that's what we've been doing with regards to legal dumping And some of the other litter.,"we've done Homewood, We've done the hill district, we've done Hazelwood.",I think we're moving into the west end this year- Just trying to do what we can to try to make sure that some of the litter that are in those places Get cleaned up.
"we've done Homewood, We've done the hill district, we've done Hazelwood.",i,So that's what we've been doing with regards to legal dumping And some of the other litter.,So we- The committee of focus tends to travel From different communities.,I think we're moving into the west end this year- Just trying to do what we can to try to make sure that some of the litter that are in those places Get cleaned up.,"But there's only so much that we can do, Unfortunately, because Thirty thousand dollars does not go very far, So and the litter keeps coming."
I think we're moving into the west end this year- Just trying to do what we can to try to make sure that some of the litter that are in those places Get cleaned up.,i,So we- The committee of focus tends to travel From different communities.,"we've done Homewood, We've done the hill district, we've done Hazelwood.","But there's only so much that we can do, Unfortunately, because Thirty thousand dollars does not go very far, So and the litter keeps coming.","So some of the educational things that we have done, especially with illegal dumping, has been to work with some of the local magistrate judges to let them know how it impacts communities."
"But there's only so much that we can do, Unfortunately, because Thirty thousand dollars does not go very far, So and the litter keeps coming.",i,"we've done Homewood, We've done the hill district, we've done Hazelwood.",I think we're moving into the west end this year- Just trying to do what we can to try to make sure that some of the litter that are in those places Get cleaned up.,"So some of the educational things that we have done, especially with illegal dumping, has been to work with some of the local magistrate judges to let them know how it impacts communities.","There's a lot of cases where, you know, we go through the process of cleaning it up, we go through the process of siting a place, we go through the process of even having the cameras to catch the person that actually did the illegal dumping, and then they get to, you know, to the part where it's time for them to have some sort of sentencing and they either get a slap on the wrist or it's forgiven And it's like, well, you know, we put in a lot of time, we put in a lot of effort for a person to be able to walk away."
"So some of the educational things that we have done, especially with illegal dumping, has been to work with some of the local magistrate judges to let them know how it impacts communities.",i,I think we're moving into the west end this year- Just trying to do what we can to try to make sure that some of the litter that are in those places Get cleaned up.,"But there's only so much that we can do, Unfortunately, because Thirty thousand dollars does not go very far, So and the litter keeps coming.","There's a lot of cases where, you know, we go through the process of cleaning it up, we go through the process of siting a place, we go through the process of even having the cameras to catch the person that actually did the illegal dumping, and then they get to, you know, to the part where it's time for them to have some sort of sentencing and they either get a slap on the wrist or it's forgiven And it's like, well, you know, we put in a lot of time, we put in a lot of effort for a person to be able to walk away.",It sort of undermines some of the process that we do.
"There's a lot of cases where, you know, we go through the process of cleaning it up, we go through the process of siting a place, we go through the process of even having the cameras to catch the person that actually did the illegal dumping, and then they get to, you know, to the part where it's time for them to have some sort of sentencing and they either get a slap on the wrist or it's forgiven And it's like, well, you know, we put in a lot of time, we put in a lot of effort for a person to be able to walk away.",i,"But there's only so much that we can do, Unfortunately, because Thirty thousand dollars does not go very far, So and the litter keeps coming.","So some of the educational things that we have done, especially with illegal dumping, has been to work with some of the local magistrate judges to let them know how it impacts communities.",It sort of undermines some of the process that we do.,"basically, For a while we only had one person working on enforcement for the entire city for illegal dumping."
It sort of undermines some of the process that we do.,i,"So some of the educational things that we have done, especially with illegal dumping, has been to work with some of the local magistrate judges to let them know how it impacts communities.","There's a lot of cases where, you know, we go through the process of cleaning it up, we go through the process of siting a place, we go through the process of even having the cameras to catch the person that actually did the illegal dumping, and then they get to, you know, to the part where it's time for them to have some sort of sentencing and they either get a slap on the wrist or it's forgiven And it's like, well, you know, we put in a lot of time, we put in a lot of effort for a person to be able to walk away.","basically, For a while we only had one person working on enforcement for the entire city for illegal dumping.","I believe within the last year we've actually hired two, because the person that was doing it retired after many years of service."
