sentence,classification,prev2,prev1,next1,next2
"Zoning Administrator, City Planning.",i,"Andrew Dash, I'm the Deputy Director, Department of City Planning.","Corey Lehman, Chief Zoning Officer.","Paul Kinsella, Principal Planner with the Department of City Planning.","All right, thanks for coming."
"Paul Kinsella, Principal Planner with the Department of City Planning.",i,"Corey Lehman, Chief Zoning Officer.","Zoning Administrator, City Planning.","All right, thanks for coming.","Yep, thanks, And just go ahead with a short presentation."
"All right, thanks for coming.",b,"Zoning Administrator, City Planning.","Paul Kinsella, Principal Planner with the Department of City Planning.","Yep, thanks, And just go ahead with a short presentation.",So this is Council Bill 2025-1579.
"Yep, thanks, And just go ahead with a short presentation.",i,"Paul Kinsella, Principal Planner with the Department of City Planning.","All right, thanks for coming.",So this is Council Bill 2025-1579.,This is primarily changed to minimum lot sizes is what this bill is intended to do.
So this is Council Bill 2025-1579.,b,"All right, thanks for coming.","Yep, thanks, And just go ahead with a short presentation.",This is primarily changed to minimum lot sizes is what this bill is intended to do.,So this minimum lot size reform bill.
This is primarily changed to minimum lot sizes is what this bill is intended to do.,i,"Yep, thanks, And just go ahead with a short presentation.",So this is Council Bill 2025-1579.,So this minimum lot size reform bill.,this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.
So this minimum lot size reform bill.,i,So this is Council Bill 2025-1579.,This is primarily changed to minimum lot sizes is what this bill is intended to do.,this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.,They recommended a number And this is the proposed resolution of the bill.
this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.,i,This is primarily changed to minimum lot sizes is what this bill is intended to do.,So this minimum lot size reform bill.,They recommended a number And this is the proposed resolution of the bill.,"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges."
They recommended a number And this is the proposed resolution of the bill.,i,So this minimum lot size reform bill.,this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.,"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges.",One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.
"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges.",i,this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.,They recommended a number And this is the proposed resolution of the bill.,One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units."
One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.,i,They recommended a number And this is the proposed resolution of the bill.,"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges.","And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units.","And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing."
"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units.",i,"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges.",One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.,"And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing.","And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh."
"And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing.",i,One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units.","And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh.",So what these requirements currently are doing in the zoning code is that they don't align.
"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh.",i,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units.","And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing.",So what these requirements currently are doing in the zoning code is that they don't align.,"not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city."
So what these requirements currently are doing in the zoning code is that they don't align.,i,"And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing.","And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh.","not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city.","And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements."
"not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city.",i,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh.",So what these requirements currently are doing in the zoning code is that they don't align.,"And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements.","they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements."
"And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements.",i,So what these requirements currently are doing in the zoning code is that they don't align.,"not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city.","they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements.","So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh."
"they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements.",i,"not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city.","And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements.","So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh.","We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them."
"So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh.",i,"And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements.","they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements.","We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them.","In the very high density, it's currently 1,200 square feet."
"We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them.",i,"they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements.","So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh.","In the very high density, it's currently 1,200 square feet.","In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet."
"In the very high density, it's currently 1,200 square feet.",i,"So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh.","We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them.","In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet.","Low density- 5,000 square feet."
"In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet.",i,"We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them.","In the very high density, it's currently 1,200 square feet.","Low density- 5,000 square feet.","And very low density- 8,000 square feet."
"Low density- 5,000 square feet.",i,"In the very high density, it's currently 1,200 square feet.","In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet.","And very low density- 8,000 square feet.","And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know."
"And very low density- 8,000 square feet.",i,"In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet.","Low density- 5,000 square feet.","And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know.","it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely."
"And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know.",i,"Low density- 5,000 square feet.","And very low density- 8,000 square feet.","it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely.","So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming."
"it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely.",i,"And very low density- 8,000 square feet.","And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know.","So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming.","One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform."
"So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming.",i,"And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know.","it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely.","One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform.","They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density."
"One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform.",i,"it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely.","So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming.","They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density.","this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%."
"They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density.",i,"So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming.","One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform.","this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%.","Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are."
"this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%.",i,"One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform.","They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density.","Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are.",So the green lots are ones that are now would conform to the proposed changes to lot sizes.
"Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are.",i,"They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density.","this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%.",So the green lots are ones that are now would conform to the proposed changes to lot sizes.,The ones that are in blue are ones that are still below those proposed minimums.
So the green lots are ones that are now would conform to the proposed changes to lot sizes.,i,"this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%.","Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are.",The ones that are in blue are ones that are still below those proposed minimums.,"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements."
The ones that are in blue are ones that are still below those proposed minimums.,i,"Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are.",So the green lots are ones that are now would conform to the proposed changes to lot sizes.,"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements.","In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build."
"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements.",i,So the green lots are ones that are now would conform to the proposed changes to lot sizes.,The ones that are in blue are ones that are still below those proposed minimums.,"In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build.","So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build."
"In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build.",i,The ones that are in blue are ones that are still below those proposed minimums.,"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements.","So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build.",It doesn't.
"So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build.",i,"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements.","In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build.",It doesn't.,the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.
It doesn't.,i,"In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build.","So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build.",the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.,"you can have a nine-story building, but it can still require a variance."
the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.,i,"So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build.",It doesn't.,"you can have a nine-story building, but it can still require a variance.",It's depending on how many units are actually in that building.
"you can have a nine-story building, but it can still require a variance.",i,It doesn't.,the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.,It's depending on how many units are actually in that building.,"And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts."
It's depending on how many units are actually in that building.,i,the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.,"you can have a nine-story building, but it can still require a variance.","And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts.","what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right."
"And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts.",i,"you can have a nine-story building, but it can still require a variance.",It's depending on how many units are actually in that building.,"what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right.","So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district."
"what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right.",i,It's depending on how many units are actually in that building.,"And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts.","So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district.","So to really summarize here, this chart really kind of summarizes it well."
"So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district.",i,"And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts.","what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right.","So to really summarize here, this chart really kind of summarizes it well.","So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet."
"So to really summarize here, this chart really kind of summarizes it well.",i,"what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right.","So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district.","So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet.","In the low density, it's going from 5,000 square feet to 3,000 square feet."
"So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet.",i,"So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district.","So to really summarize here, this chart really kind of summarizes it well.","In the low density, it's going from 5,000 square feet to 3,000 square feet.","Moderate density, 3,200 to 2,400."
"In the low density, it's going from 5,000 square feet to 3,000 square feet.",i,"So to really summarize here, this chart really kind of summarizes it well.","So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet.","Moderate density, 3,200 to 2,400.","High density: 1,800 square feet to 1,200."
"Moderate density, 3,200 to 2,400.",i,"So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet.","In the low density, it's going from 5,000 square feet to 3,000 square feet.","High density: 1,800 square feet to 1,200.","And very high density, going from the existing 1,200 square feet to no minimum lot size."
"High density: 1,800 square feet to 1,200.",i,"In the low density, it's going from 5,000 square feet to 3,000 square feet.","Moderate density, 3,200 to 2,400.","And very high density, going from the existing 1,200 square feet to no minimum lot size.","So again, this is just a little bit of a summary of what the minimum lot size requirement is And then again just removing entirely these minimum lot size per unit requirements And just to give you visual examples of what this means for Pittsburgh, just wanting to highlight many of the examples that we see throughout the various neighborhoods in the city of Pittsburgh, whether you're on the north side, you're in some of the South Hills neighborhoods, such as Brookline- I don't want to say they're insignificant, but these are very common throughout the city of Pittsburgh And what we want to do is essentially re-legalize a lot of the lots and homes that really were built prior to a lot of these more when a lot of these restricted requirements came in."
