sentence,classification,prev2,prev1,next1,next2
"Our next order of business is proclamations, and we have one today.",b,"Second, All those in favor say aye, Aye.",The agenda has been amended.,"So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.","Yes, bone injury site Area."
"So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.",b,The agenda has been amended.,"Our next order of business is proclamations, and we have one today.","Yes, bone injury site Area.",Come to the left hereabugeesalawebs dinner.
"Yes, bone injury site Area.",b,"Our next order of business is proclamations, and we have one today.","So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.",Come to the left hereabugeesalawebs dinner.,"Mr Hitler, Mr, Yes, It will be tight, but you can all fit."
Come to the left hereabugeesalawebs dinner.,i,"So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.","Yes, bone injury site Area.","Mr Hitler, Mr, Yes, It will be tight, but you can all fit.","Ms Oliver, Is everybody in a red?"
"Mr Hitler, Mr, Yes, It will be tight, but you can all fit.",i,"Yes, bone injury site Area.",Come to the left hereabugeesalawebs dinner.,"Ms Oliver, Is everybody in a red?",all in favor?
"Ms Oliver, Is everybody in a red?",i,Come to the left hereabugeesalawebs dinner.,"Mr Hitler, Mr, Yes, It will be tight, but you can all fit.",all in favor?,Let's go withteri.
all in favor?,b,"Mr Hitler, Mr, Yes, It will be tight, but you can all fit.","Ms Oliver, Is everybody in a red?",Let's go withteri.,everyone already can come forward if they want to come on.
Let's go withteri.,i,"Ms Oliver, Is everybody in a red?",all in favor?,everyone already can come forward if they want to come on.,"everybody, we can come down here."
everyone already can come forward if they want to come on.,p,all in favor?,Let's go withteri.,"everybody, we can come down here.","it's cramzing morning, ladies, you all look so sharp."
"everybody, we can come down here.",i,Let's go withteri.,everyone already can come forward if they want to come on.,"it's cramzing morning, ladies, you all look so sharp.",can we have the committee up front?
"it's cramzing morning, ladies, you all look so sharp.",i,everyone already can come forward if they want to come on.,"everybody, we can come down here.",can we have the committee up front?,committee up front.
can we have the committee up front?,b,"everybody, we can come down here.","it's cramzing morning, ladies, you all look so sharp.",committee up front.,"there you go, you're good."
committee up front.,i,"it's cramzing morning, ladies, you all look so sharp.",can we have the committee up front?,"there you go, you're good.","before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city."
"there you go, you're good.",i,can we have the committee up front?,committee up front.,"before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.","i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days."
"before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.",i,committee up front.,"there you go, you're good.","i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.",whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.
"i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.",i,"there you go, you're good.","before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.",whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service."
whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,b,"before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.","i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.","whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.","whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action."
"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.",i,"i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.",whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,"whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.","whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice."
"whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.",i,whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.","whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.","whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies."
"whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.",i,"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.","whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.","whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.","whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter."
"whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.",i,"whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.","whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.","whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter.","these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift."
"whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter.",i,"whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.","whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.","these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift.","And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh."
"these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift.",i,"whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.","whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter.","And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh.",May we have a motion So moved.
"And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh.",i,"whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter.","these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift.",May we have a motion So moved.,"Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you."
May we have a motion So moved.,b,"these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift.","And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh.","Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you.","I believe let's see All right, here we go, Thank you."
"Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you.",i,"And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh.",May we have a motion So moved.,"I believe let's see All right, here we go, Thank you.","I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor."
"I believe let's see All right, here we go, Thank you.",b,May we have a motion So moved.,"Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you.","I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor.",Receiving this proclamation from the City of Pittsburgh is not just a reminder.
"I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor.",b,"Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you.","I believe let's see All right, here we go, Thank you.",Receiving this proclamation from the City of Pittsburgh is not just a reminder.,"a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve."
Receiving this proclamation from the City of Pittsburgh is not just a reminder.,i,"I believe let's see All right, here we go, Thank you.","I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor.","a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve.","This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization."
"a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve.",i,"I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor.",Receiving this proclamation from the City of Pittsburgh is not just a reminder.,"This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization.","We will take this recognition as a source of motivation, reaffirming and a source of hope."
"This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization.",i,Receiving this proclamation from the City of Pittsburgh is not just a reminder.,"a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve.","We will take this recognition as a source of motivation, reaffirming and a source of hope.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you."
"We will take this recognition as a source of motivation, reaffirming and a source of hope.",i,"a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve.","This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Hi, I'm Tracy."
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",b,"This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization.","We will take this recognition as a source of motivation, reaffirming and a source of hope.","Hi, I'm Tracy.",HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.
"Hi, I'm Tracy.",p,"We will take this recognition as a source of motivation, reaffirming and a source of hope.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.,"Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight."
HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.,b,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Hi, I'm Tracy.","Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight.",that said it over.
"Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight.",i,"Hi, I'm Tracy.",HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.,that said it over.,"We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can."
that said it over.,i,HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.,"Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight.","We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can.","Thank you So, so much."
"We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can.",i,"Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight.",that said it over.,"Thank you So, so much.","Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy."
"Thank you So, so much.",i,that said it over.,"We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can.","Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy.",together we can continue to build a better Pittsburgh.
"Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy.",i,"We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can.","Thank you So, so much.",together we can continue to build a better Pittsburgh.,I thank you.
together we can continue to build a better Pittsburgh.,i,"Thank you So, so much.","Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy.",I thank you.,"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do."
I thank you.,i,"Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy.",together we can continue to build a better Pittsburgh.,"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do.","okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together."
"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do.",i,together we can continue to build a better Pittsburgh.,I thank you.,"okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together.",so I just want to remind members of that.
"okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together.",i,I thank you.,"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do.",so I just want to remind members of that.,"if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second."
so I just want to remind members of that.,i,"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do.","okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together.","if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second.","nope, nope, they're still."
"if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second.",i,"okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together.",so I just want to remind members of that.,"nope, nope, they're still.",they're still organizing.
"nope, nope, they're still.",i,so I just want to remind members of that.,"if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second.",they're still organizing.,"we gotta, we gotta."
they're still organizing.,i,"if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second.","nope, nope, they're still.","we gotta, we gotta.","yeah, you can't see us, we can't see you there."
"we gotta, we gotta.",i,"nope, nope, they're still.",they're still organizing.,"yeah, you can't see us, we can't see you there.","we go, all right, look at me, keep smiling, smiling, you won't you?"
"yeah, you can't see us, we can't see you there.",i,they're still organizing.,"we gotta, we gotta.","we go, all right, look at me, keep smiling, smiling, you won't you?","you, Yeah, Yeah, Oh man, I got like a smudge."
"we go, all right, look at me, keep smiling, smiling, you won't you?",i,"we gotta, we gotta.","yeah, you can't see us, we can't see you there.","you, Yeah, Yeah, Oh man, I got like a smudge.","Thank you, Strong group."
"you, Yeah, Yeah, Oh man, I got like a smudge.",i,"yeah, you can't see us, we can't see you there.","we go, all right, look at me, keep smiling, smiling, you won't you?","Thank you, Strong group.","That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith."
"Thank you, Strong group.",b,"we go, all right, look at me, keep smiling, smiling, you won't you?","you, Yeah, Yeah, Oh man, I got like a smudge.","That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith.",Councilwoman Teresa Kale Smith presents.
"That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith.",b,"you, Yeah, Yeah, Oh man, I got like a smudge.","Thank you, Strong group.",Councilwoman Teresa Kale Smith presents.,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh."
Councilwoman Teresa Kale Smith presents.,b,"Thank you, Strong group.","That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith.","be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh.",May we have a motion to approve So moved.
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh.",i,"That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith.",Councilwoman Teresa Kale Smith presents.,May we have a motion to approve So moved.,"Second, All those in favor say aye, Aye, Any opposed."
May we have a motion to approve So moved.,i,Councilwoman Teresa Kale Smith presents.,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh.","Second, All those in favor say aye, Aye, Any opposed.",Both proclamations have been approved.
"Second, All those in favor say aye, Aye, Any opposed.",i,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh.",May we have a motion to approve So moved.,Both proclamations have been approved.,Our next order of business is public comment.
Both proclamations have been approved.,i,May we have a motion to approve So moved.,"Second, All those in favor say aye, Aye, Any opposed.",Our next order of business is public comment.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council."
Our next order of business is public comment.,p,"Second, All those in favor say aye, Aye, Any opposed.",Both proclamations have been approved.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council.",Profanity will not be permitted.
"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council.",p,Both proclamations have been approved.,Our next order of business is public comment.,Profanity will not be permitted.,"After you recall, please restate your name, provide your neighborhood for the record."
Profanity will not be permitted.,i,Our next order of business is public comment.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council.","After you recall, please restate your name, provide your neighborhood for the record.",You'll be given three minutes to speak.
"After you recall, please restate your name, provide your neighborhood for the record.",p,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council.",Profanity will not be permitted.,You'll be given three minutes to speak.,Our first And actually only registered speaker is Dr Ronald Miller.
You'll be given three minutes to speak.,p,Profanity will not be permitted.,"After you recall, please restate your name, provide your neighborhood for the record.",Our first And actually only registered speaker is Dr Ronald Miller.,"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet."
Our first And actually only registered speaker is Dr Ronald Miller.,p,"After you recall, please restate your name, provide your neighborhood for the record.",You'll be given three minutes to speak.,"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet.","Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February."
"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet.",p,You'll be given three minutes to speak.,Our first And actually only registered speaker is Dr Ronald Miller.,"Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February.","This is consistent with my initiative four, where I think the child must come first, locally and nationally."
"Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February.",b,Our first And actually only registered speaker is Dr Ronald Miller.,"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet.","This is consistent with my initiative four, where I think the child must come first, locally and nationally.",The Pirate opener is three days away against the Yankees 1960.
"This is consistent with my initiative four, where I think the child must come first, locally and nationally.",i,"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet.","Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February.",The Pirate opener is three days away against the Yankees 1960.,"the Pirates won against the Yankees Y9, P9."
The Pirate opener is three days away against the Yankees 1960.,i,"Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February.","This is consistent with my initiative four, where I think the child must come first, locally and nationally.","the Pirates won against the Yankees Y9, P9.",ninth inning- Numbers are not in the game.
"the Pirates won against the Yankees Y9, P9.",i,"This is consistent with my initiative four, where I think the child must come first, locally and nationally.",The Pirate opener is three days away against the Yankees 1960.,ninth inning- Numbers are not in the game.,"Number nine: Mazeroski hits a home run in the greatest game in the history of baseball, I think Roberto Clemente."
