sentence,classification,prev2,prev1,next1,next2
"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.",p,Our first registered speaker is Azasha Mennefield.,We don't see them online.,Please approach the podium.,"Good morning, My name is Yvonne F Brown."
Please approach the podium.,p,We don't see them online.,"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.","Good morning, My name is Yvonne F Brown.","I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert."
"Good morning, My name is Yvonne F Brown.",p,"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.",Please approach the podium.,"I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.","My councilman is not here, but there are two of you sitting here looking at me."
"I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.",p,Please approach the podium.,"Good morning, My name is Yvonne F Brown.","My councilman is not here, but there are two of you sitting here looking at me.",I want you to please tell my councilman that you come down to Bedford.
"My councilman is not here, but there are two of you sitting here looking at me.",i,"Good morning, My name is Yvonne F Brown.","I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.",I want you to please tell my councilman that you come down to Bedford.,You got one One side of the hill.
I want you to please tell my councilman that you come down to Bedford.,i,"I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.","My councilman is not here, but there are two of you sitting here looking at me.",You got one One side of the hill.,you go down One.
You got one One side of the hill.,i,"My councilman is not here, but there are two of you sitting here looking at me.",I want you to please tell my councilman that you come down to Bedford.,you go down One.,you're supposed to come up.
you go down One.,i,I want you to please tell my councilman that you come down to Bedford.,You got one One side of the hill.,you're supposed to come up.,"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time."
you're supposed to come up.,i,You got one One side of the hill.,you go down One.,"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.",One that's not supposed to go down there.
"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.",i,you go down One.,you're supposed to come up.,One that's not supposed to go down there.,"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way."
One that's not supposed to go down there.,i,you're supposed to come up.,"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.","There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",There was two of them.
"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",i,"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.",One that's not supposed to go down there.,There was two of them.,How about that?
There was two of them.,i,One that's not supposed to go down there.,"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",How about that?,"Actually, One of them was going down and one's supposed to be coming up."
How about that?,i,"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",There was two of them.,"Actually, One of them was going down and one's supposed to be coming up.",They were going down at the same time.
"Actually, One of them was going down and one's supposed to be coming up.",i,There was two of them.,How about that?,They were going down at the same time.,That person on that left-hand side did not know it And we do need a sign.
They were going down at the same time.,i,How about that?,"Actually, One of them was going down and one's supposed to be coming up.",That person on that left-hand side did not know it And we do need a sign.,"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it."
That person on that left-hand side did not know it And we do need a sign.,i,"Actually, One of them was going down and one's supposed to be coming up.",They were going down at the same time.,"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",I know it because I live there.
"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",i,They were going down at the same time.,That person on that left-hand side did not know it And we do need a sign.,I know it because I live there.,But please- I've seen a couple cars go down there before.
I know it because I live there.,i,That person on that left-hand side did not know it And we do need a sign.,"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",But please- I've seen a couple cars go down there before.,"Also, I'm still upset about Corey."
But please- I've seen a couple cars go down there before.,i,"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",I know it because I live there.,"Also, I'm still upset about Corey.",Now this is Corey's.
"Also, I'm still upset about Corey.",i,I know it because I live there.,But please- I've seen a couple cars go down there before.,Now this is Corey's.,He's running for mayor.
Now this is Corey's.,i,But please- I've seen a couple cars go down there before.,"Also, I'm still upset about Corey.",He's running for mayor.,"I couldn't find the one of Ed Ganey, but it was dark like this."
He's running for mayor.,i,"Also, I'm still upset about Corey.",Now this is Corey's.,"I couldn't find the one of Ed Ganey, but it was dark like this.",See this blackness.
"I couldn't find the one of Ed Ganey, but it was dark like this.",i,Now this is Corey's.,He's running for mayor.,See this blackness.,This is how they made dark—made- the mirror.
See this blackness.,i,He's running for mayor.,"I couldn't find the one of Ed Ganey, but it was dark like this.",This is how they made dark—made- the mirror.,"I don't care for the mirror myself, but right, don't wrong nobody."
This is how they made dark—made- the mirror.,i,"I couldn't find the one of Ed Ganey, but it was dark like this.",See this blackness.,"I don't care for the mirror myself, but right, don't wrong nobody.","They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color."
"I don't care for the mirror myself, but right, don't wrong nobody.",i,See this blackness.,This is how they made dark—made- the mirror.,"They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.",But they made Ganey.
"They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.",i,This is how they made dark—made- the mirror.,"I don't care for the mirror myself, but right, don't wrong nobody.",But they made Ganey.,"See, you just play the race card and you say: we do."
But they made Ganey.,i,"I don't care for the mirror myself, but right, don't wrong nobody.","They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.","See, you just play the race card and you say: we do.",I didn't think about that until I seen it.
"See, you just play the race card and you say: we do.",i,"They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.",But they made Ganey.,I didn't think about that until I seen it.,I said how the mayor gets so black?
I didn't think about that until I seen it.,i,But they made Ganey.,"See, you just play the race card and you say: we do.",I said how the mayor gets so black?,They made him that way.
I said how the mayor gets so black?,i,"See, you just play the race card and you say: we do.",I didn't think about that until I seen it.,They made him that way.,He's not that color And I want you to understand.
They made him that way.,i,I didn't think about that until I seen it.,I said how the mayor gets so black?,He's not that color And I want you to understand.,we as black people see it.
He's not that color And I want you to understand.,i,I said how the mayor gets so black?,They made him that way.,we as black people see it.,"You just might pretend like: oh, we don't—we didn't do it."
we as black people see it.,i,They made him that way.,He's not that color And I want you to understand.,"You just might pretend like: oh, we don't—we didn't do it.",But we see what's happening.
"You just might pretend like: oh, we don't—we didn't do it.",i,He's not that color And I want you to understand.,we as black people see it.,But we see what's happening.,That man is not that dark.
But we see what's happening.,i,we as black people see it.,"You just might pretend like: oh, we don't—we didn't do it.",That man is not that dark.,How come he got all black just before it's time for him to run for election?
That man is not that dark.,i,"You just might pretend like: oh, we don't—we didn't do it.",But we see what's happening.,How come he got all black just before it's time for him to run for election?,The same way with Petit Up in his—up in our area.
How come he got all black just before it's time for him to run for election?,i,But we see what's happening.,That man is not that dark.,The same way with Petit Up in his—up in our area.,he got a big sign for Petit.
The same way with Petit Up in his—up in our area.,i,That man is not that dark.,How come he got all black just before it's time for him to run for election?,he got a big sign for Petit.,He got a big sign for Petit.
he got a big sign for Petit.,i,How come he got all black just before it's time for him to run for election?,The same way with Petit Up in his—up in our area.,He got a big sign for Petit.,He got a big sign for Petit.
He got a big sign for Petit.,i,The same way with Petit Up in his—up in our area.,he got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.
He got a big sign for Petit.,i,he got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.
He got a big sign for Petit.,i,He got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.
He got a big sign for Petit.,i,He got a big sign for Petit.,He got a big sign for Petit.,He got a big sign for Petit.,"For Petit, he's running."
He got a big sign for Petit.,i,He got a big sign for Petit.,He got a big sign for Petit.,"For Petit, he's running.","Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D."
"For Petit, he's running.",i,He got a big sign for Petit.,He got a big sign for Petit.,"Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.
"Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",b,He got a big sign for Petit.,"For Petit, he's running.",Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,This man is running for Petit's job.
Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,i,"For Petit, he's running.","Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",This man is running for Petit's job.,Now I have a problem with Petit Because of him.
This man is running for Petit's job.,i,"Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,Now I have a problem with Petit Because of him.,"we have that actor, the bad actor that keeps coming."
Now I have a problem with Petit Because of him.,i,Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,This man is running for Petit's job.,"we have that actor, the bad actor that keeps coming.","That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor."
"we have that actor, the bad actor that keeps coming.",i,This man is running for Petit's job.,Now I have a problem with Petit Because of him.,"That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.","And he was coming in the building because the police said, not me, they're dropping the ball."
"That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.",i,Now I have a problem with Petit Because of him.,"we have that actor, the bad actor that keeps coming.","And he was coming in the building because the police said, not me, they're dropping the ball.","He said Arbor and Petit, And he is dropping the ball."
"And he was coming in the building because the police said, not me, they're dropping the ball.",i,"we have that actor, the bad actor that keeps coming.","That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.","He said Arbor and Petit, And he is dropping the ball.",And the reason why I'm saying that I've got one more.
"He said Arbor and Petit, And he is dropping the ball.",i,"That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.","And he was coming in the building because the police said, not me, they're dropping the ball.",And the reason why I'm saying that I've got one more.,"My time is up, But anyway, please help us, Please."
And the reason why I'm saying that I've got one more.,i,"And he was coming in the building because the police said, not me, they're dropping the ball.","He said Arbor and Petit, And he is dropping the ball.","My time is up, But anyway, please help us, Please.",Thank you very much.
"My time is up, But anyway, please help us, Please.",i,"He said Arbor and Petit, And he is dropping the ball.",And the reason why I'm saying that I've got one more.,Thank you very much.,"Next speaker, please."
Thank you very much.,b,And the reason why I'm saying that I've got one more.,"My time is up, But anyway, please help us, Please.","Next speaker, please.","Next speaker, please."
"Next speaker, please.",b,"My time is up, But anyway, please help us, Please.",Thank you very much.,"Next speaker, please.",Thank you very much.
"Next speaker, please.",i,Thank you very much.,"Next speaker, please.",Thank you very much.,"Next speaker, please."
Thank you very much.,p,"Next speaker, please.","Next speaker, please.","Next speaker, please.",Good morning.
"Next speaker, please.",i,"Next speaker, please.",Thank you very much.,Good morning.,Special Agent Sunshine.
Good morning.,b,Thank you very much.,"Next speaker, please.",Special Agent Sunshine.,how's everybody?
Special Agent Sunshine.,b,"Next speaker, please.",Good morning.,how's everybody?,Everybody's not here.
how's everybody?,i,Good morning.,Special Agent Sunshine.,Everybody's not here.,"God, you're amazing."
Everybody's not here.,i,Special Agent Sunshine.,how's everybody?,"God, you're amazing.",I know what you're doing in the background.
"God, you're amazing.",i,how's everybody?,Everybody's not here.,I know what you're doing in the background.,"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber."
I know what you're doing in the background.,i,Everybody's not here.,"God, you're amazing.","Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",I return them to send a 100 million billion trillion Google Plex And whoever's sending them.
"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",i,"God, you're amazing.",I know what you're doing in the background.,I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,throw them into a lake of fire.
I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,i,I know what you're doing in the background.,"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",throw them into a lake of fire.,"In Jesus' name, I pray Amen."
throw them into a lake of fire.,i,"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,"In Jesus' name, I pray Amen.",I'm going to start with the wisdom for today.
"In Jesus' name, I pray Amen.",i,I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,throw them into a lake of fire.,I'm going to start with the wisdom for today.,It comes from Proverbs 21: 13.
I'm going to start with the wisdom for today.,b,throw them into a lake of fire.,"In Jesus' name, I pray Amen.",It comes from Proverbs 21: 13.,It says those who shut their ears to the cries of the poor will be ignored in their own time of need.
It comes from Proverbs 21: 13.,i,"In Jesus' name, I pray Amen.",I'm going to start with the wisdom for today.,It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,A lot of people being ignored.
It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,i,I'm going to start with the wisdom for today.,It comes from Proverbs 21: 13.,A lot of people being ignored.,It's not good.
A lot of people being ignored.,i,It comes from Proverbs 21: 13.,It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,It's not good.,God is very angry about it.
It's not good.,i,It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,A lot of people being ignored.,God is very angry about it.,God blesses us so that we might bless others.
God is very angry about it.,i,A lot of people being ignored.,It's not good.,God blesses us so that we might bless others.,"My cup runneth over because I'm here to be a blessing, Not to get blessings."
God blesses us so that we might bless others.,i,It's not good.,God is very angry about it.,"My cup runneth over because I'm here to be a blessing, Not to get blessings.",You can't get one without being one.
"My cup runneth over because I'm here to be a blessing, Not to get blessings.",i,God is very angry about it.,God blesses us so that we might bless others.,You can't get one without being one.,It doesn't take an hour to preach that A woman of character loves herself above all others.
You can't get one without being one.,i,God blesses us so that we might bless others.,"My cup runneth over because I'm here to be a blessing, Not to get blessings.",It doesn't take an hour to preach that A woman of character loves herself above all others.,We love God and ourselves.
It doesn't take an hour to preach that A woman of character loves herself above all others.,i,"My cup runneth over because I'm here to be a blessing, Not to get blessings.",You can't get one without being one.,We love God and ourselves.,"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women."
We love God and ourselves.,i,You can't get one without being one.,It doesn't take an hour to preach that A woman of character loves herself above all others.,"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",They have a problem with us.
"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",i,It doesn't take an hour to preach that A woman of character loves herself above all others.,We love God and ourselves.,They have a problem with us.,You know why?
They have a problem with us.,i,We love God and ourselves.,"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",You know why?,Because God created us for them.
You know why?,i,"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",They have a problem with us.,Because God created us for them.,God created women for men.
Because God created us for them.,i,They have a problem with us.,You know why?,God created women for men.,"It'll never be the other way around, And misogynistic men have a real big problem with that."
God created women for men.,i,You know why?,Because God created us for them.,"It'll never be the other way around, And misogynistic men have a real big problem with that.","Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today."
"It'll never be the other way around, And misogynistic men have a real big problem with that.",i,Because God created us for them.,God created women for men.,"Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.",his name is James Engle.
"Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.",i,God created women for men.,"It'll never be the other way around, And misogynistic men have a real big problem with that.",his name is James Engle.,"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man."
his name is James Engle.,i,"It'll never be the other way around, And misogynistic men have a real big problem with that.","Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.","He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",He had a problem with me leaving and his employees helping me with my luggage.
"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",i,"Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.",his name is James Engle.,He had a problem with me leaving and his employees helping me with my luggage.,He wouldn't let them do it.
He had a problem with me leaving and his employees helping me with my luggage.,i,his name is James Engle.,"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",He wouldn't let them do it.,"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel."
He wouldn't let them do it.,i,"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",He had a problem with me leaving and his employees helping me with my luggage.,"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",And the way he made me feel Was stronger.
"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",i,He had a problem with me leaving and his employees helping me with my luggage.,He wouldn't let them do it.,And the way he made me feel Was stronger.,You know why?
And the way he made me feel Was stronger.,i,He wouldn't let them do it.,"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",You know why?,Because I moved everything that I had to move myself.
You know why?,i,"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",And the way he made me feel Was stronger.,Because I moved everything that I had to move myself.,Because I praise God for my health and my strength In Jesus' name.
Because I moved everything that I had to move myself.,i,And the way he made me feel Was stronger.,You know why?,Because I praise God for my health and my strength In Jesus' name.,"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women."
Because I praise God for my health and my strength In Jesus' name.,i,You know why?,Because I moved everything that I had to move myself.,"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",Proverbs 31.
"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",i,Because I moved everything that I had to move myself.,Because I praise God for my health and my strength In Jesus' name.,Proverbs 31.,10 says an excellent wife who can find she is far more precious than jewels.
Proverbs 31.,i,Because I praise God for my health and my strength In Jesus' name.,"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",10 says an excellent wife who can find she is far more precious than jewels.,I'm not married yet.
10 says an excellent wife who can find she is far more precious than jewels.,i,"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",Proverbs 31.,I'm not married yet.,"I'm kind of running from men, But God is stopping me at my trace."
I'm not married yet.,i,Proverbs 31.,10 says an excellent wife who can find she is far more precious than jewels.,"I'm kind of running from men, But God is stopping me at my trace.",Amen In Jesus' name.
"I'm kind of running from men, But God is stopping me at my trace.",i,10 says an excellent wife who can find she is far more precious than jewels.,I'm not married yet.,Amen In Jesus' name.,Amen.
Amen In Jesus' name.,i,I'm not married yet.,"I'm kind of running from men, But God is stopping me at my trace.",Amen.,Thank you very much.
Amen.,i,"I'm kind of running from men, But God is stopping me at my trace.",Amen In Jesus' name.,Thank you very much.,"Next speaker, please Are there any further speakers Seeing none."
Thank you very much.,b,Amen In Jesus' name.,Amen.,"Next speaker, please Are there any further speakers Seeing none.",we will now move on to our standing committee's agenda.
"Next speaker, please Are there any further speakers Seeing none.",b,Amen.,Thank you very much.,we will now move on to our standing committee's agenda.,Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.
we will now move on to our standing committee's agenda.,b,Thank you very much.,"Next speaker, please Are there any further speakers Seeing none.",Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,Bill 1634 resolution repealing an item in resolution number 512 of 2022.
Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,b,"Next speaker, please Are there any further speakers Seeing none.",we will now move on to our standing committee's agenda.,Bill 1634 resolution repealing an item in resolution number 512 of 2022.,"Effective date: September 23, 2022."
Bill 1634 resolution repealing an item in resolution number 512 of 2022.,i,we will now move on to our standing committee's agenda.,Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,"Effective date: September 23, 2022.",in order to rescind the sale.
"Effective date: September 23, 2022.",i,Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,Bill 1634 resolution repealing an item in resolution number 512 of 2022.,in order to rescind the sale.,Motion to approve discussion.
in order to rescind the sale.,i,Bill 1634 resolution repealing an item in resolution number 512 of 2022.,"Effective date: September 23, 2022.",Motion to approve discussion.,"Move a second, Oh, second Second With discussion, Councilman Coghill."
Motion to approve discussion.,b,"Effective date: September 23, 2022.",in order to rescind the sale.,"Move a second, Oh, second Second With discussion, Councilman Coghill.","Okay, thank you, Madam Chair."
"Move a second, Oh, second Second With discussion, Councilman Coghill.",i,in order to rescind the sale.,Motion to approve discussion.,"Okay, thank you, Madam Chair.",I would like to.
"Okay, thank you, Madam Chair.",b,Motion to approve discussion.,"Move a second, Oh, second Second With discussion, Councilman Coghill.",I would like to.,"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in."
I would like to.,b,"Move a second, Oh, second Second With discussion, Councilman Coghill.","Okay, thank you, Madam Chair.","I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.","Director Gula, thank you, Yes, Good morning."
"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.",b,"Okay, thank you, Madam Chair.",I would like to.,"Director Gula, thank you, Yes, Good morning.","I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director."
"Director Gula, thank you, Yes, Good morning.",b,I would like to.,"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.","I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.","Okay, thank you, Thank you both for being here."
"I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.",i,"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.","Director Gula, thank you, Yes, Good morning.","Okay, thank you, Thank you both for being here.","Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right."
"Okay, thank you, Thank you both for being here.",b,"Director Gula, thank you, Yes, Good morning.","I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.","Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right.","Okay, Just because it was brought to my attention."
"Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right.",i,"I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.","Okay, thank you, Thank you both for being here.","Okay, Just because it was brought to my attention.",I never.
"Okay, Just because it was brought to my attention.",i,"Okay, thank you, Thank you both for being here.","Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right.",I never.,"I don't know how processes work in certain departments in the city of Pittsburgh, But I just want to for other council members to know the kind of how it came to my attention, And then you could fill in the gaps and questions that we might have for you."
