sentence,classification,prev2,prev1,next1,next2
"At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her.",i,So this is what this day's about.,"Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel.",But thank you very much.,"But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things."
But thank you very much.,i,"Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel.","At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her.","But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things.","Good morning, I'm going to try to go really quick."
"But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things.",b,"At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her.",But thank you very much.,"Good morning, I'm going to try to go really quick.",So we have a couple of organizations that we want to most definitely give it a shout-out to.
"Good morning, I'm going to try to go really quick.",i,But thank you very much.,"But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things.",So we have a couple of organizations that we want to most definitely give it a shout-out to.,"So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands."
So we have a couple of organizations that we want to most definitely give it a shout-out to.,i,"But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things.","Good morning, I'm going to try to go really quick.","So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands.","and we've got to give a shout-out to our amazing, beautiful aka Sisters."
"So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands.",i,"Good morning, I'm going to try to go really quick.",So we have a couple of organizations that we want to most definitely give it a shout-out to.,"and we've got to give a shout-out to our amazing, beautiful aka Sisters.",it's over there representing.
"and we've got to give a shout-out to our amazing, beautiful aka Sisters.",i,So we have a couple of organizations that we want to most definitely give it a shout-out to.,"So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands.",it's over there representing.,"Thank you ladies, Thank you ladies."
it's over there representing.,i,"So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands.","and we've got to give a shout-out to our amazing, beautiful aka Sisters.","Thank you ladies, Thank you ladies.",Shout-out to PPS and early childhood folk that are here.
"Thank you ladies, Thank you ladies.",i,"and we've got to give a shout-out to our amazing, beautiful aka Sisters.",it's over there representing.,Shout-out to PPS and early childhood folk that are here.,So thank you all for staff.
Shout-out to PPS and early childhood folk that are here.,i,it's over there representing.,"Thank you ladies, Thank you ladies.",So thank you all for staff.,"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents."
So thank you all for staff.,i,"Thank you ladies, Thank you ladies.",Shout-out to PPS and early childhood folk that are here.,"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents.","We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course."
"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents.",i,Shout-out to PPS and early childhood folk that are here.,So thank you all for staff.,"We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course.","Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day."
"We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course.",i,So thank you all for staff.,"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents.","Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day.",we totally appreciate y'all opening your doors for us.
"Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day.",i,"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents.","We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course.",we totally appreciate y'all opening your doors for us.,"And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well."
we totally appreciate y'all opening your doors for us.,i,"We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course.","Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day.","And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well.","Thank you, Thank you."
"And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well.",i,"Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day.",we totally appreciate y'all opening your doors for us.,"Thank you, Thank you.","Thank you, Director Barker."
"Thank you, Thank you.",i,we totally appreciate y'all opening your doors for us.,"And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well.","Thank you, Director Barker.","We did not have, on my quick agenda, an opportunity to have a meeting with you."
"Thank you, Director Barker.",b,"And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well.","Thank you, Thank you.","We did not have, on my quick agenda, an opportunity to have a meeting with you.","I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry."
"We did not have, on my quick agenda, an opportunity to have a meeting with you.",b,"Thank you, Thank you.","Thank you, Director Barker.","I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry.","Thank you, Mr Brentley."
"I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry.",i,"Thank you, Director Barker.","We did not have, on my quick agenda, an opportunity to have a meeting with you.","Thank you, Mr Brentley.","This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success."
"Thank you, Mr Brentley.",b,"We did not have, on my quick agenda, an opportunity to have a meeting with you.","I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry.","This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success.","so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season."
"This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success.",b,"I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry.","Thank you, Mr Brentley.","so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season.","thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years."
"so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season.",b,"Thank you, Mr Brentley.","This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success.","thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years.","next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult."
"thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years.",b,"This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success.","so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season.","next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult.",so we constantly are pushing and supporting that and we always have our partners.
"next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult.",b,"so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season.","thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years.",so we constantly are pushing and supporting that and we always have our partners.,we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.
so we constantly are pushing and supporting that and we always have our partners.,i,"thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years.","next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult.",we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.,"well, representative from RIF, which is reading is fundamental."
we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.,b,"next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult.",so we constantly are pushing and supporting that and we always have our partners.,"well, representative from RIF, which is reading is fundamental.",take a moment please.
"well, representative from RIF, which is reading is fundamental.",b,so we constantly are pushing and supporting that and we always have our partners.,we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.,take a moment please.,"my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?"
take a moment please.,i,we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.,"well, representative from RIF, which is reading is fundamental.","my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?","there's, there are hang partners."
"my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?",i,"well, representative from RIF, which is reading is fundamental.",take a moment please.,"there's, there are hang partners.",they here today.
"there's, there are hang partners.",i,take a moment please.,"my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?",they here today.,"okay, okay, good, Good morning everyone."
they here today.,i,"my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?","there's, there are hang partners.","okay, okay, good, Good morning everyone.","First of all, thank you, President and council members, for letting Reading is Fundamental Pittsburgh be a part of this amazing event."
"okay, okay, good, Good morning everyone.",b,"there's, there are hang partners.",they here today.,"First of all, thank you, President and council members, for letting Reading is Fundamental Pittsburgh be a part of this amazing event.","Our mission at RIF is to ensure that all kids in the Pittsburgh community have access to books and resources to motivate them to develop a love of reading, and in the past year we provided almost eighty four thousand books on the north side, the south side, the Hill District."
"First of all, thank you, President and council members, for letting Reading is Fundamental Pittsburgh be a part of this amazing event.",b,they here today.,"okay, okay, good, Good morning everyone.","Our mission at RIF is to ensure that all kids in the Pittsburgh community have access to books and resources to motivate them to develop a love of reading, and in the past year we provided almost eighty four thousand books on the north side, the south side, the Hill District.","Fazon, or Pittsburgh Faison, is the school at Homewood that we serve in Hazelwood and in Wilkinsburg, And my work specifically is in our mentoring program Rip- Everybody Wins, where we match volunteers to read for an hour a week with kids at Pittsburgh Faison in Homewood, at Pittsburgh Weill in the Hill District and at Pittsburgh King on the north side, as well as Manchester Academic Charter School."
