sentence,classification,prev2,prev1,next1,next2
"So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",b,"so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.","Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.",I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,I'm Jen Persutti.
I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,i,"Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.","So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",I'm Jen Persutti.,I'm the CFO for Pittsburgh Water.
I'm Jen Persutti.,i,"So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,I'm the CFO for Pittsburgh Water.,"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water."
I'm the CFO for Pittsburgh Water.,i,I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,I'm Jen Persutti.,"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.","I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water."
"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.",b,I'm Jen Persutti.,I'm the CFO for Pittsburgh Water.,"I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",I am Jen Cristobal.
"I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",b,I'm the CFO for Pittsburgh Water.,"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.",I am Jen Cristobal.,I'm the Planning Section Chief for Army Corps of Engineers.
I am Jen Cristobal.,i,"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.","I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",I'm the Planning Section Chief for Army Corps of Engineers.,"Hi, my name is Mark Locheski."
I'm the Planning Section Chief for Army Corps of Engineers.,i,"I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",I am Jen Cristobal.,"Hi, my name is Mark Locheski.","I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District."
"Hi, my name is Mark Locheski.",b,I am Jen Cristobal.,I'm the Planning Section Chief for Army Corps of Engineers.,"I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",Rebecca's bringing up our presentation.
"I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",i,I'm the Planning Section Chief for Army Corps of Engineers.,"Hi, my name is Mark Locheski.",Rebecca's bringing up our presentation.,I'm Jess Andresen.
Rebecca's bringing up our presentation.,b,"Hi, my name is Mark Locheski.","I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",I'm Jess Andresen.,I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.
I'm Jess Andresen.,b,"I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",Rebecca's bringing up our presentation.,I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.
I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,i,Rebecca's bringing up our presentation.,I'm Jess Andresen.,And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.
And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,i,I'm Jess Andresen.,I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.
I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,i,I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,"There we go, So on our agenda today."
So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,b,And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,"There we go, So on our agenda today.",we've gone through the welcome and the introductions.
"There we go, So on our agenda today.",b,I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,we've gone through the welcome and the introductions.,We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.
we've gone through the welcome and the introductions.,i,So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,"There we go, So on our agenda today.",We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,"Thank you, Tony, will talk to you about our stormwater program."
We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,b,"There we go, So on our agenda today.",we've gone through the welcome and the introductions.,"Thank you, Tony, will talk to you about our stormwater program.","We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that."
"Thank you, Tony, will talk to you about our stormwater program.",i,we've gone through the welcome and the introductions.,We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,"We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.","And then, of course, as we end, we're happy to answer any questions that anyone may have."
"We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.",i,We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,"Thank you, Tony, will talk to you about our stormwater program.","And then, of course, as we end, we're happy to answer any questions that anyone may have.","So, as a little bit of background, Pittsburgh Water is a public authority."
"And then, of course, as we end, we're happy to answer any questions that anyone may have.",i,"Thank you, Tony, will talk to you about our stormwater program.","We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.","So, as a little bit of background, Pittsburgh Water is a public authority.",We serve the public.
"So, as a little bit of background, Pittsburgh Water is a public authority.",b,"We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.","And then, of course, as we end, we're happy to answer any questions that anyone may have.",We serve the public.,"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government."
We serve the public.,i,"And then, of course, as we end, we're happy to answer any questions that anyone may have.","So, as a little bit of background, Pittsburgh Water is a public authority.","So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",An investor-owned utility has shareholders.
"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",i,"So, as a little bit of background, Pittsburgh Water is a public authority.",We serve the public.,An investor-owned utility has shareholders.,they have investors.
An investor-owned utility has shareholders.,i,We serve the public.,"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",they have investors.,We have none of that.
they have investors.,i,"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",An investor-owned utility has shareholders.,We have none of that.,"Every dollar that we collect from our rate payers, it goes right back into our systems."
We have none of that.,i,An investor-owned utility has shareholders.,they have investors.,"Every dollar that we collect from our rate payers, it goes right back into our systems.",We have a commitment to protecting public health and the environment And we also have drivers of investment.
"Every dollar that we collect from our rate payers, it goes right back into our systems.",i,they have investors.,We have none of that.,We have a commitment to protecting public health and the environment And we also have drivers of investment.,"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water."
We have a commitment to protecting public health and the environment And we also have drivers of investment.,b,We have none of that.,"Every dollar that we collect from our rate payers, it goes right back into our systems.","Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.","Okay, So our water reliability plan is a once-in-a-generation plan."
"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.",i,"Every dollar that we collect from our rate payers, it goes right back into our systems.",We have a commitment to protecting public health and the environment And we also have drivers of investment.,"Okay, So our water reliability plan is a once-in-a-generation plan.",It is a mandated plan for Pittsburgh Water by our regulators.
"Okay, So our water reliability plan is a once-in-a-generation plan.",b,We have a commitment to protecting public health and the environment And we also have drivers of investment.,"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.",It is a mandated plan for Pittsburgh Water by our regulators.,It is court ordered.
It is a mandated plan for Pittsburgh Water by our regulators.,i,"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.","Okay, So our water reliability plan is a once-in-a-generation plan.",It is court ordered.,We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.
It is court ordered.,i,"Okay, So our water reliability plan is a once-in-a-generation plan.",It is a mandated plan for Pittsburgh Water by our regulators.,We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,These are projects that will modernize our water system and improve our service reliability.
We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,i,It is a mandated plan for Pittsburgh Water by our regulators.,It is court ordered.,These are projects that will modernize our water system and improve our service reliability.,The design: we're going to be using a lot of water.
These are projects that will modernize our water system and improve our service reliability.,i,It is court ordered.,We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,The design: we're going to be using a lot of water.,The design work is currently underway for the capstone project for this plan and that is our clear well replacement.
The design: we're going to be using a lot of water.,i,We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,These are projects that will modernize our water system and improve our service reliability.,The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes."
The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,b,These are projects that will modernize our water system and improve our service reliability.,The design: we're going to be using a lot of water.,"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.",We have also selected construction firms for our Aspamal pump station and our Brecken pump station.
"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.",i,The design: we're going to be using a lot of water.,The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant."
We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,b,The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.","Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.","Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you."
"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.",i,"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.",We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Okay, Thank you."
"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i,We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.","Okay, Thank you.","Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you."
"Okay, Thank you.",i,"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.","Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",We are also in the process of building our new Highland pump station.
"Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i,"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.","Okay, Thank you.",We are also in the process of building our new Highland pump station.,That station is 78% complete at this point.
We are also in the process of building our new Highland pump station.,b,"Okay, Thank you.","Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",That station is 78% complete at this point.,"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response."
That station is 78% complete at this point.,i,"Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",We are also in the process of building our new Highland pump station.,"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.","So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines."
"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.",i,We are also in the process of building our new Highland pump station.,That station is 78% complete at this point.,"So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.","We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended."
"So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.",i,That station is 78% complete at this point.,"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.","We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.","We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can."
"We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.",i,"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.","So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.","We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",We are also recognized by the US EPA as a national leader in lead service line replacement programs.
"We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",i,"So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.","We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.",We are also recognized by the US EPA as a national leader in lead service line replacement programs.,So now let's take a look at our capital improvement plan drivers.
We are also recognized by the US EPA as a national leader in lead service line replacement programs.,i,"We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.","We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",So now let's take a look at our capital improvement plan drivers.,So you can see at that top line there we have a total investment over the next five years of almost 1.
So now let's take a look at our capital improvement plan drivers.,b,"We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",We are also recognized by the US EPA as a national leader in lead service line replacement programs.,So you can see at that top line there we have a total investment over the next five years of almost 1.,2 billion.
So you can see at that top line there we have a total investment over the next five years of almost 1.,i,We are also recognized by the US EPA as a national leader in lead service line replacement programs.,So now let's take a look at our capital improvement plan drivers.,2 billion.,There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.
2 billion.,i,So now let's take a look at our capital improvement plan drivers.,So you can see at that top line there we have a total investment over the next five years of almost 1.,There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,that is about 30% of our funding and programming for the next five years.
There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,i,So you can see at that top line there we have a total investment over the next five years of almost 1.,2 billion.,that is about 30% of our funding and programming for the next five years.,"Again, that is a mandated program."
that is about 30% of our funding and programming for the next five years.,i,2 billion.,There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,"Again, that is a mandated program.",We have a consent decree.
"Again, that is a mandated program.",i,There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,that is about 30% of our funding and programming for the next five years.,We have a consent decree.,We have a mandate that mandates that.
We have a consent decree.,i,that is about 30% of our funding and programming for the next five years.,"Again, that is a mandated program.",We have a mandate that mandates that.,"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan."
We have a mandate that mandates that.,i,"Again, that is a mandated program.",We have a consent decree.,"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.","We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program."
"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.",i,We have a consent decree.,We have a mandate that mandates that.,"We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.","And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well."
"We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.",i,We have a mandate that mandates that.,"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.","And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.","And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh."
"And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.",i,"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.","We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.","And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.","We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system."
"And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.",i,"We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.","And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.","We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.",So now I'll turn it over to Tony to talk about the stormwater program.
"We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.",i,"And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.","And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.",So now I'll turn it over to Tony to talk about the stormwater program.,"Thank you, Thanks, Jen."
So now I'll turn it over to Tony to talk about the stormwater program.,b,"And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.","We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.","Thank you, Thanks, Jen.","So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city."
"Thank you, Thanks, Jen.",i,"We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.",So now I'll turn it over to Tony to talk about the stormwater program.,"So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.",So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.
"So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.",i,So now I'll turn it over to Tony to talk about the stormwater program.,"Thank you, Thanks, Jen.",So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed."
So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,i,"Thank you, Thanks, Jen.","So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.","Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.","The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map."
"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.",i,"So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.",So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,"The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map.",We've been doing ongoing maintenance and inspection to optimize their performance.
"The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map.",b,So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.",We've been doing ongoing maintenance and inspection to optimize their performance.,One of the things we did this past year was bring a lot of that management in-house moving forward.
We've been doing ongoing maintenance and inspection to optimize their performance.,i,"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.","The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map.",One of the things we did this past year was bring a lot of that management in-house moving forward.,"In addition to that, we still face environmental compliance requirements- A lot of it on our outfalls- that outfall to the rivers and streams, And so there's quite a bit of inspection and protective measures."
